study_id,pmid,outcome,timepoint,arm_1_name,arm_1_n,arm_1_mean_or_events,arm_1_sd_or_total,arm_2_name,arm_2_n,arm_2_mean_or_events,arm_2_sd_or_total,reported_effect,reported_ci_or_p,converted_effect_size,converted_effect_se,direction_higher_is_better,extraction_note,verified_by_second_author
FRAIL-001,42131895,frailty_status,,,,,,,,,,,,,,,,
FRAIL-001,42131895,frailty_score,,,,,,,,,,,,,,,,
FRAIL-001,42131895,gait_speed,,,,,,,,,,,,,,,,
FRAIL-001,42131895,sppb,,,,,,,,,,,,,,,,
FRAIL-001,42131895,grip_strength,,,,,,,,,,,,,,,,
FRAIL-001,42131895,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-001,42131895,falls,,,,,,,,,,,,,,,,
FRAIL-001,42131895,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-001,42131895,adherence,,,,,,,,,,,,,,,,
FRAIL-001,42131895,dropout,,,,,,,,,,,,,,,,
FRAIL-001,42131895,adverse_events,,,,,,,,,,,,,,,,
FRAIL-002,42004413,frailty_status,,,,,,,,,,,,,,,,
FRAIL-002,42004413,frailty_score,,,,,,,,,,,,,,,,
FRAIL-002,42004413,gait_speed,,,,,,,,,,,,,,,,
FRAIL-002,42004413,sppb,,,,,,,,,,,,,,,,
FRAIL-002,42004413,grip_strength,,,,,,,,,,,,,,,,
FRAIL-002,42004413,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-002,42004413,falls,,,,,,,,,,,,,,,,
FRAIL-002,42004413,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-002,42004413,adherence,,,,,,,,,,,,,,,,
FRAIL-002,42004413,dropout,,,,,,,,,,,,,,,,
FRAIL-002,42004413,adverse_events,,,,,,,,,,,,,,,,
FRAIL-003,41796126,frailty_status,,,,,,,,,,,,,,,,
FRAIL-003,41796126,frailty_score,,,,,,,,,,,,,,,,
FRAIL-003,41796126,gait_speed,,,,,,,,,,,,,,,,
FRAIL-003,41796126,sppb,,,,,,,,,,,,,,,,
FRAIL-003,41796126,grip_strength,,,,,,,,,,,,,,,,
FRAIL-003,41796126,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-003,41796126,falls,,,,,,,,,,,,,,,,
FRAIL-003,41796126,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-003,41796126,adherence,,,,,,,,,,,,,,,,
FRAIL-003,41796126,dropout,,,,,,,,,,,,,,,,
FRAIL-003,41796126,adverse_events,,,,,,,,,,,,,,,,
FRAIL-004,41677077,frailty_status,,,,,,,,,,,,,,,,
FRAIL-004,41677077,frailty_score,,,,,,,,,,,,,,,,
FRAIL-004,41677077,gait_speed,,,,,,,,,,,,,,,,
FRAIL-004,41677077,sppb,,,,,,,,,,,,,,,,
FRAIL-004,41677077,grip_strength,,,,,,,,,,,,,,,,
FRAIL-004,41677077,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-004,41677077,falls,,,,,,,,,,,,,,,,
FRAIL-004,41677077,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-004,41677077,adherence,,,,,,,,,,,,,,,,
FRAIL-004,41677077,dropout,,,,,,,,,,,,,,,,
FRAIL-004,41677077,adverse_events,,,,,,,,,,,,,,,,
FRAIL-005,41658611,frailty_status,,,,,,,,,,,,,,,,
FRAIL-005,41658611,frailty_score,,,,,,,,,,,,,,,,
FRAIL-005,41658611,gait_speed,,,,,,,,,,,,,,,,
FRAIL-005,41658611,sppb,,,,,,,,,,,,,,,,
FRAIL-005,41658611,grip_strength,,,,,,,,,,,,,,,,
FRAIL-005,41658611,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-005,41658611,falls,,,,,,,,,,,,,,,,
FRAIL-005,41658611,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-005,41658611,adherence,,,,,,,,,,,,,,,,
FRAIL-005,41658611,dropout,,,,,,,,,,,,,,,,
FRAIL-005,41658611,adverse_events,,,,,,,,,,,,,,,,
FRAIL-006,41354090,frailty_status,,,,,,,,,,,,,,,,
FRAIL-006,41354090,frailty_score,,,,,,,,,,,,,,,,
FRAIL-006,41354090,gait_speed,,,,,,,,,,,,,,,,
FRAIL-006,41354090,sppb,,,,,,,,,,,,,,,,
FRAIL-006,41354090,grip_strength,,,,,,,,,,,,,,,,
