pmid,doi,title,year,journal,url,priority_reason,abstract,screen_decision,fulltext_priority,round2_decision,round2_reason,setting_code,component_code,high_confidence_decision,high_confidence_reason,intervention_node_prelim
41677077,10.1111/acel.70376,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,2026,Aging cell,https://pubmed.ncbi.nlm.nih.gov/41677077/,Community/primary-care frailty RCT candidate,"Frailty emerges as the intermediate stage preceding disability, but there is a gap in molecular signatures for early detection of subclinical cellular changes, which could help predict frailty onset or the effectiveness of interventions. In this randomized, controlled study, we assessed phenotypical and functional changes in frail individuals before and after a 6-month multidomain lifestyle intervention (nutritional supplement and supervised exercise) vs habitual care. We also analyzed whole-blood methylome, including five epigenetic clocks, a DNA methylation-based telomere length estimator, and the Rate of Epigenetic Aging (REA). Between October 2019 and July 2022, we recruited 47 frail, community-dwelling individuals in Spain. Mean age was 80.2 years (SD 3.1) in the control group (CG; n = 19) and 80.5 years (4.3) in the intervention group (IG; n = 28). Compared with the CG, a significant reduction in frailty, assessed by the SHARE-FI score, was observed in the IG (p < 0.0001). The IG also showed improved grip strength (p = 0.0053), gait speed (p = 0.0125), the Tinetti score (p = 0.0031), and Barthel Index (p = 0.0484). The intervention was also associated with statistically significant improvements in nutritional blood markers, indicators of biological aging, including reduced DNAm PhenoAge (p = 0.0253) and preserved telomere length (p = 0.0246). REA using DNAm PhenoAge indicated an acceleration of epigenetic aging in the CG (p = 0.0300). Other epigenetic clocks showed nonsignificant changes. Our findings suggest potential geroprotective effects of a multidomain intervention and indicate that DNAm PhenoAge and methylation-based telomere length may serve as complementary markers for assessing health span-related changes in frail older adults. Trial Registration: This trial was retrospectively registered: NCT06975540.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,community,resistance;nutrition;multidomain,extract_now,High-confidence community/home/primary-care frailty RCT candidate,multidomain_exercise_nutrition
41757200,10.64898/2026.02.12.26346203,A multi-layered approach to elucidate mechanisms of physical function in response to rehabilitation in heart failure with preserved ejection fraction.,2026,medRxiv : the preprint server for health sciences,https://pubmed.ncbi.nlm.nih.gov/41757200/,Implementation-relevant frailty RCT candidate,"Heart failure with preserved ejection fraction (HFpEF) is an increasingly common cause of morbidity and mortality in older adults that is driven by cardiac and non-cardiac mechanisms. Physical rehabilitation improves frailty and functional capacity in HFpEF, though underlying mechanisms remain less clear. We quantified >5,000 circulating proteins across two randomized clinical trials of rehabilitation in HFpEF (REHAB-HF, SECRET-II), identifying proteins associated with prognostic measures of physical function (short physical performance battery, 6-minute walk distance) and protein changes after rehabilitation. Using an artificial intelligence (AI)-enabled multiplex network analysis (MENTOR-IA), we identified biologically plausible networks central to this ""physical function proteome,"" including endothelial remodeling, mitochondrial metabolism, calcium handling, and immune modulation. Expression of prioritized proteins at the transcriptional level localized to heart, skeletal muscle, and brain tissue, with several cognate transcripts implicated in frailty via tissue-specific transcriptome-wide genetic association studies. In addition, using novel human genetic approaches, we implicated select proteins as mediating tissue-specific genetic effects on frailty. These findings motivated us to construct multi-protein signatures of physical function, which correlated with functional changes observed with rehabilitation in REHAB-HF and SECRET-II and that were associated with heart failure and multi-dimensional clinical outcomes in >26,000 individuals. These findings collectively delineate a multi-system molecular program underlying physical function impairment and rehabilitation response in HFpEF, offering insights into potential precision risk estimators and therapeutic targets for surveillance and promotion of physiologic resilience.",include_title_abs,A_primary_fulltext,exclude_or_hold,Preprint; not eligible for IJMR primary evidence unless later peer-reviewed,unclear,nutrition;digital_home,exclude_before_extraction,"Disease-specific, post-acute or hospital rehabilitation population",nutrition_only
41696082,10.1177/20552076261425399,A structured hybrid exercise programme for pre-frail older adults in primary care: A feasibility and pilot study.,2026,Digital health,https://pubmed.ncbi.nlm.nih.gov/41696082/,Community/primary-care frailty RCT candidate,"Pre-frailty is prevalent and linked to diminished physical function and heightened healthcare needs. This study explored feasibility and preliminary effects of a structured 12-week exercise programme for pre-frail older adults and its impact on physical performance. A multi-centre, prospective quasi-experimental study with single-arm pre-post design was conducted from April 2022 to September 2023 across four regional primary care clinics in Singapore. Participants aged ≥65 years, with Clinical Frailty Scale (CFS) score of 3 or 4, were enrolled in a 12-week program consisting of nine supervised in-person and three asynchronous remote exercise sessions (via pre-recorded videos). Each session lasted one hour and targeted functional strength, balance, mobility, and endurance. Primary feasibility outcomes included recruitment, retention, adherence, fidelity, satisfaction, and safety; clinical outcomes were considered secondary. Physical performance was assessed using Short Physical Performance Battery (SPPB), 30-Seconds Sit-to-Stand (30CST), and handgrip dynamometry at baseline and at 3 months (post-intervention). Changes in physical activity levels were evaluated using interviewer-administered International Physical Activity Questionnaire-Short Form (IPAQ-SF) at baseline, 6 months, and 12 months. Of 227 eligible participants, 162 started the programme (attended ≥1 session), and 139 completed the 3-month follow-up. The recruitment rate was 71.4%, and the retention rate was 85.8% (139/162) among those who started. The program achieved overall 81.9% average attendance rate across 12 sessions, with 64% of participants attending at least 10 sessions. Participants demonstrated an increase in SPPB scores (mean: +0.76 points; 95% CI: 0.48-1.04; p < 0.001) and in 30CST repetitions (mean: +2.82; 95% CI: 2.27-3.41; p < 0.001) from pre- to post- intervention. Female participants showed improved right-hand grip strength (mean: +0.65 kg; 95% CI: 0.16-1.14; p = 0.010), although male grip strength did not significantly change. No significant increase in total physical activity was observed at 6 or 12 months (IPAQ category shifts: p = 0.136 and 0.050 respectively), despite a positive trend towards higher activity levels. All respondents expressed satisfaction with the overall programme, and 93% were satisfied with the remote sessions. No exercise-related adverse events occurred. Qualitative feedback highlighted improved confidence and social engagement as added benefits. The structured hybrid exercise program was feasible in a primary care setting and associated with improvements in physical function among community-dwelling pre-frail older adults. Feasibility was demonstrated through strong attendance, completion rates and participant satisfaction. Despite no significant change in self-reported physical activity, the combination of in-person supervision and home-based exercise appears promising for scalable pre-frailty management. This pilot study's positive findings support further evaluation in a controlled trial and suggest that such hybrid models can be implemented to engage pre-frail seniors in regular exercise.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,primary_care,resistance;balance;aerobic_walking;digital_home,exclude_before_extraction,Protocol/design/baseline paper,exercise_only
41691463,10.1093/gerona/glag034,Benefits of oral nitrite supplementation on mitochondrial respiration and physical function in older adults.,2026,"The journals of gerontology. Series A, Biological sciences and medical sciences",https://pubmed.ncbi.nlm.nih.gov/41691463/,Community/primary-care frailty RCT candidate,"Age-associated decline in mitochondrial oxidative capacity is associated with increased risk of disease, frailty, and disability. Oral nitrite and nitrate supplementation have been demonstrated to improve mitochondrial energetics and physical function in younger adults, but effects in older adults (age ≥70 years) remain unclear. We conducted a randomized, placebo-controlled, double-blind, two-arm trial with a parallel group design to examine the effect of 20 mg sodium nitrite supplements administered three times a day for 12 weeks versus placebo in older (age ≥70 years) sedentary adults. Change in muscle mitochondrial respiration (complex I and II supported maximal oxidative phosphorylation [CI&II MaxOXPHOS]) was the primary outcome. Platelet bioenergetics, cardiorespiratory fitness, and other physical function measures were also assessed. Sixty-four adults (75.7 ± 5.7 years) completed the trial. Nitrite supplementation was not associated with improvements in skeletal muscle mitochondrial respiration, nor improvements in exercise capacity and physical function. However, platelet mitochondrial respiration changed significantly following an acute dose of oral nitrite. Notably, while nitrite levels increased 16- to 30-fold in plasma following an acute dose, levels increased only 1.6-fold in skeletal muscle. The divergent response of skeletal muscle versus platelet mitochondrial respiration in response to nitrite supplementation suggests tissue-specific pharmacokinetics and pharmacodynamics that likely impact the efficacy of nitrite supplementation. Results also suggest there may be age-related changes in drug delivery, metabolism, and mitochondrial responsiveness compared to the effects of nitrite/nitrate previously demonstrated in younger adults. Clinical Trial Registration Number: ClinicalTrials.gov NCT04405180.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,unclear,nutrition,exclude_before_extraction,Not a pragmatic frailty intervention for Indian primary care,nutrition_only
41748043,10.1016/j.exger.2026.113079,Effect of bedrest on the human gut and oral microbiome: implications for frailty.,2026,Experimental gerontology,https://pubmed.ncbi.nlm.nih.gov/41748043/,Community/primary-care frailty RCT candidate,"The physiological effects of spaceflight resemble those of ageing and prolonged inactivity, and ground-based microgravity analogs have emerged as promising models for studying frailty. The human microbiome is increasingly recognised for its role in age-associated decline, although precise mechanisms remain unclear. Here, we evaluate the gut and oral microbiomes of twenty-two participants, aged 55-65, who were enrolled in a head-down tilt bedrest (HDBR) study, the first Canadian HDBR study conducted in an older cohort. Participants were randomly assigned to an inactivity or multi-modality exercise intervention group for fourteen days of HDBR, followed by seven days of rehabilitation and additional follow-up appointments. Gut (n = 343) and oral (n = 344) taxonomic profiles were generated using V4-V5 16S rRNA gene sequencing from fecal and salivary samples collected throughout the study. Gut functional profiles were generated using metagenomic (n = 86) data, used for pathway inference, and metabolomic (n = 83) data. Frailty was measured using a 36-item frailty index. Inactivity-associated changes to the gut microbiome during HDBR included decreasing α-diversity, decreasing Akkermansia and Lactobacillus, and increasing Bacteroides. Exercise-associated changes included increasing gut Roseburia. Both gut and oral β-diversity were associated with frailty scores and individual frailty components. We conclude that inactivity-associated changes to the human microbiome are associated with the early stages of frailty development, and that exercise may serve as an effective countermeasure against these effects. These results may inform strategies to preserve the health of both older adults facing prolonged periods of inactivity, as well as astronauts during longer space exploration missions.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,unclear,digital_home,exclude_before_extraction,Not a pragmatic frailty intervention for Indian primary care,digital_home_unclear_intervention
42010888,10.1113/EP093501,"Effect of repeated hot water immersion on muscle strength, power, function and physical activity in healthy older adults: A randomised crossover trial.",2026,Experimental physiology,https://pubmed.ncbi.nlm.nih.gov/42010888/,Community/primary-care frailty RCT candidate,"Ageing leads to an increased prevalence of sarcopenia and frailty, characterised by progressive declines in muscle strength, power and function and reduced physical activity. Hot water immersion (HWI) could potentially improve muscle function, but this is yet to be explored in older adults. Twelve middle-aged to older adults completed a randomised, controlled, crossover trial (ClinicalTrials.gov ID NCT05618197), undergoing assessments before and after a 6-week HWI intervention (two to three 60-min HWIs per week) or control condition with a 6-week washout between study arms. During HWIs, body position was adjusted to maintain rectal temperature at 38.5-39.0°C. Pre- and post-intervention and control measurements of peripheral muscle strength (isokinetic and handgrip dynamometry), lower body power and functional performance (Short Physical Performance Battery consisting of balance, walking and sit to stand tests with motion and external force capture) and physical activity (accelerometry) were taken. Repeated HWI had no effect on the primary outcome peak quadriceps torque (P = 0.127, η2 p = 0.125; n = 7), whilst grip strength increased in the control arm (P = 0.004) and decreased post-intervention compared to control (P = 0.039). SPPB total and component scores, lower body power, gait measures and physical activity levels were unchanged (all P > 0.05). Repeated HWI under the conditions employed did not improve strength, power, lower extremity function or physical activity levels in this cohort, and does not appear to be an effective method to improve indices of muscle function in healthy older adults.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,unclear,resistance;balance;aerobic_walking;digital_home,exclude_before_extraction,Not a pragmatic frailty intervention for Indian primary care,exercise_only
41513837,10.1038/s43856-025-01361-0,Effects of an oral exercise intervention on pre-frailty or frailty in older people: a randomized clinical trial.,2026,Communications medicine,https://pubmed.ncbi.nlm.nih.gov/41513837/,Community/primary-care frailty RCT candidate,"Frailty is often experienced by older adults, which can lead to long-term health problems. We aimed to examine associations with improvements in nutritional status, sarcopenia (age-related loss of skeletal muscle mass and strength), and frailty in four groups with different oral exercise frequencies. We conducted a prospective, parallel multi-arm randomized controlled trial (Japan Registry of Clinical Trials (jRCT) 1062210063) to test the effects of oral exercise on frailty in older adults. Each intervention consisted of a standardized oral exercise protocol including neck exercises, lip exercises, and tongue movements, designed to improve oral function and reduce frailty. The primary outcome was the change in the number of frailty criteria from baseline to follow-up. Individuals aged ≥60 years were screened for frailty status using standardized criteria at the Department of Preventive Dentistry at Okayama University Hospital between October 2022 and December 2023. Those identified as pre-frailty or frailty were eligible and enrolled in the study. After screening 60 individuals, 58 eligible participants were randomly assigned using block randomization to one of four oral exercise frequency groups: 3 times/day & everyday, 3 times/day & 3 days/week, once/day & everyday, and once/day & 3 days/week. A two-way repeated measures analysis of variance was used to evaluate the impact of the four frequencies of oral exercise methods on frailty in older adults. Outcome assessors were blinded; participants were not. Here we show the results of the 58 participants. Group sizes are: 3 times/day & everyday (n = 14), 3 times/day & 3 days/week (n = 15), once/day & everyday (n = 14), once/day & 3 days/week (n = 15). The trial is completed as planned, and all randomized participants are analyzed. The main effect of time is significant for the number of frailty criteria (F = 14.803, p < 0.001, partial eta squared = 0.215). The mean changes from baseline to follow-up are -0.357 (95% Confidence Interval -0.787 to 0.073) in the 3 times/day & everyday group, -0.600 (95% Confidence Interval -1.255 to 0.055) in the 3 times/day & 3 days/week group, -0.571 (95% Confidence Interval -1.379 to 0.236) in the once/day & everyday group, and -0.600 (95% Confidence Interval -1.008 to -0.192) in the once/day & 3 days/week group. The main effect of time is also significant for the number of oral hypofunction criteria (F = 16.456, p < 0.001, partial eta squared = 0.234). No important adverse events or side effects related to the intervention were observed. After conducting oral exercises for 3 months on older adults with pre-frailty or frailty, improvements in frailty are observed. Overall, these exercises could be a simple, low-cost way to support healthy aging in the community.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,community,resistance;nutrition,exclude_before_extraction,Protocol/design/baseline paper,exercise_plus_nutrition
41786620,10.1093/ptj/pzag020,Effects of home-based cardiac rehabilitation integrated in the cardiac care bridge transitional care program on the physical functioning of older patients who are frail: secondary analysis of a randomized trial.,2026,Physical therapy,https://pubmed.ncbi.nlm.nih.gov/41786620/,Implementation-relevant frailty RCT candidate,"Older patients hospitalized for cardiovascular disease (CVD) are at risk of physical function decline and adverse health outcomes. Cardiac rehabilitation (CR) improves physical functioning but is underutilized by older patients. Home-based CR potentially improves utilization, yet its effectiveness in older patients who are frail remains understudied. The objective of this study was to investigate the effects of a transitional-care integrated home-based CR program on physical functioning in older patients who are frail after CVD hospitalization. This was a prespecified secondary analysis of physical functioning at the 6-month follow-up in the cardiac care bridge multicenter randomized trial. A home-based setting was used. The study participants were patients who were frail and ≥70 years old after CVD hospitalization. The intervention was transitional care followed by physical therapist led home-based CR and community nurse visits. The primary physical function outcome was the Short Physical Performance Battery (SPPB) in cases with complete follow-up data. Secondary outcomes included the 2-min step test, grip strength, and Amsterdam Linear Disability Scale. Sensitivity analyses included an intention-to-treat analysis by multiple imputation of the full cohort. In total, 85 of 153 participants in the intervention group and 85 of 153 participants in the control group were analyzed (mean age = 82.6 [SD = 6.3] years; 46% men; median of 2 [interquartile range = 1-4] comorbidities). At the 6-month follow-up, more participants in the intervention group than in the control group demonstrated SPPB improvement (61% vs 51%) or maintenance (29% vs 12%), and fewer deteriorated (11% vs 37%). The mean SPPB values at 6 months were 6.3 (SD = 0.3) and 5.5 (SD = 0.2), respectively, with a mean difference of 0.8 (95% CI = 0.0-1.6), favoring the intervention group. No between-group differences were observed in the 2-min step test, grip strength, or Amsterdam Linear Disability Scale. Among older patients who were frail and had CVD, a comprehensive transitional-care program with integrated home-based CR resulted in clinically relevant improvements in physical functioning. The results substantiate the effectiveness of home-based CR in older patients who are frail and have CVD.",include_title_abs,A_primary_fulltext,secondary_setting,Hospital/post-acute/residential setting; not primary Indian primary-care scope,hospital_or_postacute,resistance;digital_home,exclude_before_extraction,Setting outside primary community/home/outpatient scope,exercise_only
42004413,10.1016/j.jarlif.2026.100069,Effects of multicomponent exercise on frailty in older adults with type 2 diabetes: Differential responses by metabolic frailty phenotype.,2026,JAR life,https://pubmed.ncbi.nlm.nih.gov/42004413/,Community/primary-care frailty RCT candidate,"Frailty in older adults with type 2 diabetes mellitus (T2DM) is metabolically heterogeneous, but whether multicomponent exercise (MCE) produces phenotype-specific functional benefit remains unclear. We asked two linked clinical questions: does a supervised 24-week MCE program improve physical function and frailty versus usual care, and are those effects modified by metabolic frailty phenotype (anorexic-malnourished [AM] phenotype vs sarcopenic-obese [SO] phenotype)? In this 24-week, phenotype-stratified, parallel-group randomized controlled trial, 146 community-dwelling adults aged ≥65 years with long-standing T2DM and frailty/pre-frailty who met predefined AM or SO criteria were randomized within phenotype to supervised MCE or usual care (AM-Control/MCE 31; SO-Control/MCE 42). Co-primary outcomes were Short Physical Performance Battery (SPPB) score and Fried frailty phenotype count. Key secondary outcomes were 4-m gait speed, five-chair-stand time, and grip strength. Covariate-adjusted generalized estimating equation models of change from baseline to 12 and 24 weeks included intervention, phenotype, visit, and all interactions, and adjusted for baseline outcome, age, sex, BMI, baseline HbA1c, metformin, SGLT2 inhibitor, GLP-1RA, insulin, diabetic retinopathy, diabetic peripheral neuropathy, chronic kidney disease stage ≥3, and hypertension. Benjamini-Hochberg false-discovery-rate correction was applied across functional outcome comparisons. Arm-level baseline balance was good overall, whereas AM and SO were intentionally distinct at baseline in adiposity, nutrition, glycemia, inflammation, and insulin resistance. Compared with usual care, MCE improved all functional outcomes at both follow-up visits. At 24 weeks, adjusted MCE-control differences were +1.14 points for SPPB (95 % CI 0.99 to 1.28), -0.64 for Fried count (95 % CI -0.77 to -0.51), +0.111 m/s for gait speed (95 % CI 0.095 to 0.127), -1.42 s for chair-stand time (95 % CI -1.70 to -1.14), and +0.94 kg for grip strength (95 % CI 0.72 to 1.16); all BH q < 0.001. Treatment-by-phenotype interactions at 24 weeks favored SO for SPPB (+0.50 points, 95 % CI 0.22 to 0.79; q = 0.005), gait speed (+0.048 m/s, 95 % CI 0.016 to 0.080; q = 0.012), and chair-stand time (-0.82 s, 95 % CI -1.37 to -0.27; q = 0.012), whereas the Fried-count interaction was not significant. A supervised 24-week MCE program improved physical function and frailty in older adults with T2DM and frailty/pre-frailty. Functional gains were larger in the SO than AM phenotype for several performance-based outcomes, suggesting phenotype-dependent responsiveness. Because this trial deliberately focused on two endpoint phenotypes and excluded intermediate presentations, the findings should be interpreted as clinically informative but not definitive for phenotype-guided care. Registered prospectively in the Chinese Clinical Trial Registry (ChiCTR), a WHO ICTRP primary registry (registration no ChiCTR2400090109; http://www.chictr.org.cn/), on 24 September 2024, before enrollment.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,community,resistance;balance;multicomponent_exercise;nutrition;digital_home,extract_now,High-confidence community/home/primary-care frailty RCT candidate,exercise_plus_nutrition
42066553,10.1016/j.ijnurstu.2026.105549,"Effects of pickleball on pre-frailty, physical fitness, 24-hour movement behaviors, and quality of life in older adults: A randomized controlled trial.",2026,International journal of nursing studies,https://pubmed.ncbi.nlm.nih.gov/42066553/,Community/primary-care frailty RCT candidate,"Pre-frailty is a high-risk state prevalent in older adults, representing a critical window for intervention. Pickleball, a popular paddle sport, offers a unique blend of physical activity and social engagement, but its efficacy in reversing pre-frailty remains understudied. This study aimed to investigate the effects of an 8-week pickleball training program on pre-frailty, physical fitness, 24-hour movement behaviors, and quality of life in community-dwelling older adults. 72 older adults [age: median (interquartile range) = 67 (5)] with pre-frailty were randomly assigned to either a pickleball intervention group (n = 36) or a control group (n = 36). The pickleball group participated in supervised 8-week pickleball sessions, while the control group maintained their usual lifestyle. Outcomes included frailty status, functional fitness, 24-hour movement behaviors (assessed using accelerometers and compositional data analysis), and quality of life. Analyses followed an intention-to-treat principle with multiple imputation for missing data. Between-group differences in pre-frailty reversal rates were assessed using Fisher's exact test and absolute recovery increase. Generalized estimating equation models were used to evaluate Group × Time interactions for outcomes. After 8 weeks, 42% of the pickleball group transitioned from pre-frailty to non-frailty, compared to 8% in the control group (p < 0.001). Statistically significant improvements were observed in functional fitness, including the 30-second chair stand [β = 4.89, p < 0.001], 30-second arm curl [β = 3.70, p < 0.001], back scratch [β = 3.27, p = 0.003], and 6-minute walk distance [β = 31.10, p = 0.041]. Quality of life improved for both physical [β = 2.37, p = 0.040] and mental health scores [β = 4.83, p = 0.001]. Compositional data analysis showed a favorable shift in movement behaviors, with reduced sedentary time [β = -37.19, p = 0.028] and increased light physical activity [β = 17.43, p = 0.033] in the pickleball group. An 8-week pickleball intervention effectively reversed pre-frailty, improved functional fitness, and enhanced quality of life. These findings suggest pickleball as a promising exercise for preventing frailty and promoting healthy aging. Chinese Clinical Trial Registry ChiCTR2500098832. Registered March 13, 2025.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,community,multidomain,extract_now,High-confidence community/home/primary-care frailty RCT candidate,multidomain
