"param","sex","refht","age","median","lln"
"fvc","M",162.5,45,3.014,2.011
"fvc","M",162.5,46,2.993,1.995
"fvc","M",162.5,47,2.972,1.98
"fvc","M",162.5,48,2.952,1.965
"fvc","M",162.5,49,2.931,1.95
"fvc","M",162.5,50,2.911,1.935
"fvc","M",162.5,51,2.89,1.919
"fvc","M",162.5,52,2.87,1.904
"fvc","M",162.5,53,2.849,1.888
"fvc","M",162.5,54,2.828,1.872
"fvc","M",162.5,55,2.806,1.856
"fvc","M",162.5,56,2.785,1.839
"fvc","M",162.5,57,2.763,1.822
"fvc","M",162.5,58,2.741,1.805
"fvc","M",162.5,59,2.719,1.787
"fvc","M",162.5,60,2.696,1.769
"fvc","M",162.5,61,2.674,1.751
"fvc","M",162.5,62,2.651,1.733
"fvc","M",162.5,63,2.627,1.715
"fvc","M",162.5,64,2.604,1.696
"fvc","M",162.5,65,2.58,1.677
"fvc","M",162.5,66,2.556,1.658
"fvc","M",162.5,67,2.532,1.639
"fvc","M",162.5,68,2.508,1.62
"fvc","M",162.5,69,2.484,1.601
"fvc","M",162.5,70,2.46,1.582
"fvc","M",162.5,71,2.437,1.563
"fvc","M",162.5,72,2.413,1.545
"fvc","M",162.5,73,2.39,1.526
"fvc","M",162.5,74,2.367,1.508
"fvc","M",162.5,75,2.345,1.491
"fvc","M",162.5,76,2.322,1.473
"fvc","M",162.5,77,2.301,1.456
"fvc","M",162.5,78,2.279,1.439
"fvc","M",162.5,79,2.258,1.423
"fvc","M",162.5,80,2.237,1.406
"fvc","M",162.5,81,2.216,1.39
"fvc","M",162.5,82,2.196,1.374
"fvc","M",162.5,83,2.175,1.358
"fvc","M",162.5,84,2.155,1.342
"fvc","M",162.5,85,2.136,1.327
"fvc","M",162.5,86,2.116,1.311
"fvc","M",162.5,87,2.096,1.296
"fvc","M",162.5,88,2.077,1.281
"fvc","M",162.5,89,2.058,1.266
"fvc","M",162.5,90,2.039,1.251
"fvc","F",150.6,45,2.164,1.471
"fvc","F",150.6,46,2.149,1.459
"fvc","F",150.6,47,2.135,1.448
"fvc","F",150.6,48,2.122,1.437
"fvc","F",150.6,49,2.108,1.426
"fvc","F",150.6,50,2.095,1.415
"fvc","F",150.6,51,2.083,1.404
"fvc","F",150.6,52,2.071,1.394
"fvc","F",150.6,53,2.059,1.383
"fvc","F",150.6,54,2.047,1.373
"fvc","F",150.6,55,2.035,1.363
"fvc","F",150.6,56,2.023,1.352
"fvc","F",150.6,57,2.01,1.34
"fvc","F",150.6,58,1.998,1.328
"fvc","F",150.6,59,1.984,1.316
"fvc","F",150.6,60,1.97,1.302
"fvc","F",150.6,61,1.955,1.288
"fvc","F",150.6,62,1.939,1.274
"fvc","F",150.6,63,1.923,1.259
"fvc","F",150.6,64,1.906,1.243
"fvc","F",150.6,65,1.889,1.227
"fvc","F",150.6,66,1.871,1.211
"fvc","F",150.6,67,1.852,1.195
"fvc","F",150.6,68,1.834,1.178
"fvc","F",150.6,69,1.815,1.161
"fvc","F",150.6,70,1.796,1.145
"fvc","F",150.6,71,1.778,1.128
"fvc","F",150.6,72,1.759,1.112
"fvc","F",150.6,73,1.74,1.096
"fvc","F",150.6,74,1.722,1.08
"fvc","F",150.6,75,1.703,1.064
"fvc","F",150.6,76,1.685,1.048
