study_id,title,year,journal,pmid,pmcid,doi,intervention_name,study_design,ageing_domain_category,outcome_exact,endpoint_family,source_type,source_locator,source_cached_locally,verification_status,effect_size_extraction_status,candidate_effect_size_text,extractor_method,needs_figure_digitization
41943481.0,Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,2026.0,Alzheimers Dement,41943481.0,PMC13053931,10.1002/alz.71313,lifestyle_bundle,RCT_or_clinical_trial,healthspan_functional_ageing,frailty,frailty_function,pmc_xml,data_processed/open_text_cache/PMC13053931.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,"tervention (606 each; three exclusions per arm). Participants had a mean age of 68.7 years and a mean of 12.5 years of education; 96.4% were Chinese. High rates of || ee exclusions per arm). Participants had a mean age of 68.7 years and a mean of 12.5 years of education; 96.4% were Chinese. High rates of inactivity, limited cogni || articipants had a mean age of 68.7 years and a mean of 12.5 years of education; 96.4% were Chinese. High rates of inactivity, limited cognitive engagement, and subop || ed consent was obtained from all participants before enrollment into the study. 2.1 Study design and intervention The SINGER study is a 2‐year randomized controlle || on of chronic diseases, quality of life, mental health, and cost‐effectiveness. 2.2 COVID‐related protocol changes and digital pivot Due to restrictions on persona || ce to face in clinic Face to face in clinic (no change) John Wiley & Sons, Ltd. 2.3 Recruitment strategy and COVID‐19 adaptations At study initiation, recruitment || t reach. A second recruitment site was subsequently added to support enrolment. 2.4 Recruitment sources Recruitment was conducted through several complementary sou || ployed adaptively as opportunities arose over the recruitment period. 3 RESULTS 3.1 Formation of the study population A total of 3841 individuals were pre‐screened",pmc_xml_table_text_parse,no
41984883.0,Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,2026.0,PLoS One,41984883.0,PMC13082602,10.1371/journal.pone.0347063,exercise,RCT_or_clinical_trial,healthspan_functional_ageing,frailty,frailty_function,pmc_xml,data_processed/open_text_cache/PMC13082602.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,"frail people with MS. Materials and methods Sixteen frail people with MS (age = 55.0 ± 7.7 years, 81.3% female, Fried frailty score ≥3) participated in this pilot r || eople with MS. Materials and methods Sixteen frail people with MS (age = 55.0 ± 7.7 years, 81.3% female, Fried frailty score ≥3) participated in this pilot randomi || MS. Materials and methods Sixteen frail people with MS (age = 55.0 ± 7.7 years, 81.3% female, Fried frailty score ≥3) participated in this pilot randomized controlle || oup and six in the control group, completed the study. The recruitment rate was 0.33 participants/week, retention was 87.5%, and adherence was high, with participan || leted the study. The recruitment rate was 0.33 participants/week, retention was 87.5%, and adherence was high, with participants completing 97.2% of planned training || week, retention was 87.5%, and adherence was high, with participants completing 97.2% of planned training sessions. No adverse events or training-related pain were r || emented with complete outcome data. Participants agreed or strongly agreed with 95.7% of applicable SPFQ items, indicating high levels of engagement and satisfaction || h the trial. Between-group differences in baseline to 6-week change were: EFIP −0.07 (95% CI: −0.14, −0.00); MSQoL-54 mental health +21.24 (95% CI: 7.32, 35.16); MS",pmc_xml_table_text_parse,no
38424099.0,Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,2024.0,Nature communications,38424099.0,,,microbiome,RCT_or_clinical_trial,healthspan_functional_ageing,cognition,cognition,publisher_html,https://pubmed.ncbi.nlm.nih.gov/38424099/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"rence between prebiotic and placebo for the primary outcome of chair rise time (β = 0.579; 95% CI -1.080-2.239 p = 0.494). The prebiotic improves cognition (fact || e between prebiotic and placebo for the primary outcome of chair rise time (β = 0.579; 95% CI -1.080-2.239 p = 0.494). The prebiotic improves cognition (factor score || en prebiotic and placebo for the primary outcome of chair rise time (β = 0.579; 95% CI -1.080-2.239 p = 0.494). The prebiotic improves cognition (factor score versus || otic and placebo for the primary outcome of chair rise time (β = 0.579; 95% CI -1.080-2.239 p = 0.494). The prebiotic improves cognition (factor score versus placebo || and placebo for the primary outcome of chair rise time (β = 0.579; 95% CI -1.080-2.239 p = 0.494). The prebiotic improves cognition (factor score versus placebo (β = || cebo for the primary outcome of chair rise time (β = 0.579; 95% CI -1.080-2.239 p = 0.494). The prebiotic improves cognition (factor score versus placebo (β = -0.482; 95 || .239 p = 0.494). The prebiotic improves cognition (factor score versus placebo (β = -0.482; 95% CI,-0.813, -0.141; p = 0.014)). Our results demonstrate that chea || p = 0.494). The prebiotic improves cognition (factor score versus placebo (β = -0.482; 95% CI,-0.813, -0.141; p = 0.014)). Our results demonstrate that cheap and rea",table_first_then_figure_digitization_if_needed,no
39024000.0,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,2024.0,Journal of medical Internet research,39024000.0,,,exercise,RCT_or_clinical_trial,healthspan_functional_ageing,frailty,frailty_function,publisher_html,https://pubmed.ncbi.nlm.nih.gov/39024000/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"pare the training effects on outcomes. We recruited 96 individuals, of whom 60 (62%) underwent randomization. Of these 60 participants, 55 (92%) completed the stud || iduals, of whom 60 (62%) underwent randomization. Of these 60 participants, 55 (92%) completed the study. Significant group×time interactions were observed in the || teractions were observed in the intervention group in all primary outcomes (all P<.001, except P=.01 for handgrip strength) and most secondary outcomes, including max || observed in the intervention group in all primary outcomes (all P<.001, except P=.01 for handgrip strength) and most secondary outcomes, including maximum voluntary || dary outcomes, including maximum voluntary isometric contraction of the biceps (P=.004) and triceps brachii (P<.001) muscles, biceps muscle thickness measured using u || mum voluntary isometric contraction of the biceps (P=.004) and triceps brachii (P<.001) muscles, biceps muscle thickness measured using ultrasonography (P<.001), box || achii (P<.001) muscles, biceps muscle thickness measured using ultrasonography (P<.001), box and block test (P<.001), Kihon checklist (physical function: P=.01, mood || s muscle thickness measured using ultrasonography (P<.001), box and block test (P<.001), Kihon checklist (physical function: P=.01, mood status: P=.003, and total: P=",table_first_then_figure_digitization_if_needed,yes
10.1007_s12603-018-1090-9,Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,2018.0,"The Journal of nutrition, health and aging",,,10.1007/s12603-018-1090-9,exercise,RCT_or_clinical_trial,healthspan_functional_ageing,frailty,frailty_function,publisher_html,https://doi.org/10.1007/s12603-018-1090-9,no,not_verified_source_unavailable,not_extracted_no_source_text,,table_first_then_figure_digitization_if_needed,no
41503609.0,Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,2026.0,Lancet Reg Health West Pac,41503609.0,PMC12771502,10.1016/j.lanwpc.2025.101780,exercise,cohort,hard_ageing_relevance,mortality; frailty,frailty_function,pmc_xml,data_processed/open_text_cache/PMC12771502.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,"Health, Ageing and Retirement in Europe (56,555 participants, median follow-up 6.5 years), China Health and Retirement Longitudinal Study (12,271 participants, 9. || .5 years), China Health and Retirement Longitudinal Study (12,271 participants, 9.0 years); Health and Retirement Study (13,729 participants, 11.9 years); English || 271 participants, 9.0 years); Health and Retirement Study (13,729 participants, 11.9 years); English Longitudinal Study of Ageing (9100 participants, 9.8 years); an || icipants, 11.9 years); English Longitudinal Study of Ageing (9100 participants, 9.8 years); and Mexican Health and Aging Study (11,262 participants, 19.3 years). F || ticipants, 9.8 years); and Mexican Health and Aging Study (11,262 participants, 19.3 years). Frailty status was classified as robust, prefrail, and frail based on d || nization recommendations) or inactive. Findings Across five cohorts (median age 58.0–65.0 years), physical activity consistently interacted with frailty on all-caus || ion recommendations) or inactive. Findings Across five cohorts (median age 58.0–65.0 years), physical activity consistently interacted with frailty on all-cause mor || onsistently interacted with frailty on all-cause mortality (all P interaction ≤ 0.036). In pooled analyses, frailty was associated with higher risks of mortality in",pmc_xml_table_text_parse,no
38378685.0,Fasting-mimicking diet causes hepatic and blood markers changes indicating reduced biological age and disease risk.,2024.0,Nature communications,38378685.0,,,fasting,RCT_or_clinical_trial,biological_ageing_biomarker,biological age,epigenetic_biological_age,publisher_html,https://pubmed.ncbi.nlm.nih.gov/38378685/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"ive of morbidity and mortality, 3 FMD cycles were associated with a decrease of 2.5 years in median biological age, independent of weight loss. Nearly identical fi",table_first_then_figure_digitization_if_needed,no
31761958.0,"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",2019.0,GeroScience,31761958.0,,,rapamycin_mtor,RCT_or_clinical_trial,biological_ageing_biomarker,senescence,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/31761958/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"the study, and nineteen discontinued or were lost to follow-up. A significant (P = 0.008) reduction in p16 INK4A protein levels and an increase in collagen VII protein || ion in p16 INK4A protein levels and an increase in collagen VII protein levels (P = 0.0077) were observed among participants at the end of the study. Clinical improvement",manual_full_text_extraction,yes
40188830.0,Influence of rapamycin on safety and healthspan metrics after one year: PEARL trial results.,2025.0,Aging,40188830.0,,,rapamycin_mtor,RCT_or_clinical_trial,surrogate_or_indirect,healthspan,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/40188830/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"lar across all groups. Visceral adiposity did not change significantly (η p 2 = 0.001, p = 0.942), and changes in blood biomarkers remained within normal ranges. Lea || oss all groups. Visceral adiposity did not change significantly (η p 2 = 0.001, p = 0.942), and changes in blood biomarkers remained within normal ranges. Lean tissue ma || es in blood biomarkers remained within normal ranges. Lean tissue mass (η p 2 = 0.202, p = 0.013) and self-reported pain (η p 2 = 0.168, p = 0.015) improved signific || lood biomarkers remained within normal ranges. Lean tissue mass (η p 2 = 0.202, p = 0.013) and self-reported pain (η p 2 = 0.168, p = 0.015) improved significantly for w || es. Lean tissue mass (η p 2 = 0.202, p = 0.013) and self-reported pain (η p 2 = 0.168, p = 0.015) improved significantly for women using 10 mg rapamycin. Self-report || n tissue mass (η p 2 = 0.202, p = 0.013) and self-reported pain (η p 2 = 0.168, p = 0.015) improved significantly for women using 10 mg rapamycin. Self-reported emotiona || ly for women using 10 mg rapamycin. Self-reported emotional well-being (η p 2 = 0.108, p = 0.023) and general health (η p 2 = 0.166, p = 0.004) also improved for tho || women using 10 mg rapamycin. Self-reported emotional well-being (η p 2 = 0.108, p = 0.023) and general health (η p 2 = 0.166, p = 0.004) also improved for those using 5",manual_full_text_extraction,yes
26094889.0,"A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan.",2015.0,Cell metabolism,26094889.0,,,fasting,RCT_or_clinical_trial,surrogate_or_indirect,healthspan,cognition,publisher_html,https://pubmed.ncbi.nlm.nih.gov/26094889/,no,abstract_verified_full_text_pending,no_candidate_effect_text_found,,table_first_then_figure_digitization_if_needed,no
