study_id,first_author,year,doi,pmid,d1_randomization,d1_quote,d2_deviations,d2_quote,d3_missing_data,d3_quote,d4_measurement,d4_quote,d5_selective_reporting,d5_quote,overall,reviewer_1,reviewer_2,consensus_status,notes
OlasoGonzalezG_2026_88c470,Olaso-Gonzalez G,2026,10.1111/acel.70376,41677077.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
LinS_2025_c63679,Lin S,2025,10.1080/07853890.2025.2496409,40297922.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
ChapnickM_2025_d1605d,Chapnick M,2025,10.1101/2025.09.25.678652,,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
StanfieldB_2026_967335,Stanfield B,2026,10.1002/jcsm.70274,41985884.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
BozackAK_2025_7aa71b,Bozack AK,2025,10.1038/s41514-025-00298-x,41354984.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
RobinsonLA_2026_d1a7b4,Robinson LA,2026,10.3389/fnut.2026.1750030,41717034.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
NwanajiEnweremJC_2024_cd243f,Nwanaji-Enwerem JC,2024,10.1093/eep/dvae017,39416749.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
CorleyMJ_2025_ad19fa,Corley MJ,2025,10.1101/2025.07.09.25331038,,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
RslerW_2026_9ed59d,Rösler W,2026,10.1038/s41514-026-00360-2,41872206.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
BozackAK_2025_90311c,Bozack AK,2025,10.1016/j.ajcnut.2025.05.029,40456316.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
WaziryR_2023_29b3ce,Waziry R,2023,10.1038/s43587-022-00357-y,37118425.0,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
BozackA_2025_e4438c,Bozack A,2025,10.1101/2025.01.06.25320074,,pending,,pending,,pending,,pending,,pending,,pending,Dr Siddalingaiah H S,Dr Chandrakala D,pending,Auto-seeded; dual coding pending full-text reading.
