study_id,clock,effect_metric,value,se,ci_lower,ci_upper,n_int,n_ctrl,n_total,source_section_or_table,evidence_snippet,confidence,direction_note,flag_for_human_review,context_note
ChapnickM_2025_d1605d,DunedinPACE,mean_difference_pace,-0.03,0.014285714285714285,-0.06,-0.004,nan,nan,nan,fulltext_regex_PAT_CLOCK_PARENS,"d GrimAge 56.3 y (SD 4.1). In difference-in-difference analyses, exposure to atole during any of the first 1,000-day period was associated with lower DunedinPACE (−0.03, 95% CI −0.06, −0.004), PhenoAge acceleration (− 1.91 y, 95% CI −3.43, −0.39), and GrimAge acceleration (−0.85 y, 95% CI −1.53, −0.",medium,negative value = slower epigenetic ageing (beneficial) for age clocks and DunedinPACE,no,"ambiguous, kept (flag for review)"
ChapnickM_2025_d1605d,GrimAge,mean_difference_years,-0.85,0.3622448979591837,-1.53,-0.11,nan,nan,nan,manual_curation:Results (GrimAge acceleration adjusted),"GrimAge acceleration (-0.85 y, 95% CI -1.53, -0.11) compared to other exposures",high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
ChapnickM_2025_d1605d,PhenoAge,mean_difference_years,-1.91,0.7755102040816326,-3.43,-0.39,nan,nan,nan,manual_curation:Results (PhenoAge acceleration adjusted),"PhenoAge acceleration (-1.91 y, 95% CI -3.43, -0.39)",high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
CorleyMJ_2025_ad19fa,DunedinPACE,mean_difference_pace,-0.09,0.03826530612244899,-0.17,-0.02,45.0,39.0,84.0,manual_curation:Results (DunedinPACE ANCOVA),"For DunedinPACE, semaglutide was associated with a 0.09 lower pace-of-aging (units per year) relative to placebo (95% CI: -0.17 to -0.02, p = 0.01)",high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
CorleyMJ_2025_ad19fa,GrimAge,mean_difference_years,-1.39,0.681122448979592,-2.72,-0.05,45.0,39.0,84.0,manual_curation:Results (GrimAge V1 ANCOVA),exhibited a 1.39-year lower GrimAgeV1 estimate compared to placebo (95% CI: -2.72 to -0.05; p = 0.042) over the 32-week trial,high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
CorleyMJ_2025_ad19fa,GrimAge2,mean_difference_years,-2.26,0.854591836734694,-3.94,-0.59,45.0,39.0,84.0,manual_curation:Results (GrimAge V2 ANCOVA),2.26-year reduction relative to placebo (95% CI: -3.94 to -0.59; p = 0.008),high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
CorleyMJ_2025_ad19fa,PCClock,mean_difference_years,-3.08,1.1301020408163265,-5.29,-0.86,45.0,39.0,84.0,manual_curation:Results (PCGrimAge ANCOVA),"PCGrimAge ... ANCOVA adjusted difference = -3.08 years/year, 95% CI: -5.29 to -0.86, p = 0.007",high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
MerrillSM_2024_5ee99d,DunedinPACE,mean_difference_pace,0.29,0.11989795918367348,0.05,0.52,nan,nan,nan,fulltext_regex_PAT_EFFECT_THEN_CLOCK,"of treatment with the pace of aging remained with a similar effect size after accounting for the covariation between DunedinPACE and BEC proportion (β = 0.29; 95% CI, 0.05-0.52; P = .02). Table 2. Primary Results for Each Outcome Models and Outcomes a B (95 CI) β (95% CI) P value Dunedin PACE Baseli",high,negative value = slower epigenetic ageing (beneficial) for age clocks and DunedinPACE,no,between-group context terms present
WaziryR_2023_29b3ce,DunedinPACE,cohens_d_post_12mo,-0.29,0.0816326530612245,-0.45,-0.13,128.0,69.0,197.0,manual_curation:Results (12-month Cohen's d),"12-month d = -0.29 (95% CI -0.45, -0.13), 24-month d = -0.25 (95% CI -0.41, -0.09), P < 0.003 for both (DunedinPACE)",high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
WaziryR_2023_29b3ce,GrimAge,cohens_d_post_12mo,-0.04,0.058673469387755105,-0.16,0.07,128.0,69.0,197.0,manual_curation:Results (12-month Cohen's d),"for GrimAge, 12-month d = -0.04 (95% CI -0.16, 0.07), 24-month d = 0.05 (95% CI -0.07, 0.17), P > 0.40",high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
WaziryR_2023_29b3ce,PhenoAge,cohens_d_post_12mo,-0.03,0.07908163265306123,-0.19,0.12,128.0,69.0,197.0,manual_curation:Results (12-month Cohen's d),"for PhenoAge, 12-month d = -0.03 (95% CI -0.19, 0.12), 24-month d = 0.05 (95% CI -0.11, 0.20), P > 0.50",high,negative value = slower epigenetic ageing (beneficial),no,manually curated from source full-text snippet
YaskolkaMeirA_2023_ba151d,Hannum,mean_difference_years,-0.38,nan,nan,nan,nan,nan,nan,manual_curation:Results (Hannum multivariate beta),"greater Hannum mAge (beta = -0.38, p = 0.03) attenuation",low,negative value = slower epigenetic ageing (beneficial),yes,manually curated from source full-text snippet
