intervention_name,ageing_domain_category,n_candidate_records
caloric_restriction,hard_ageing_relevance,18
caloric_restriction,surrogate_or_indirect,39
controversial,hard_ageing_relevance,2
controversial,surrogate_or_indirect,20
exercise,biological_ageing_biomarker,2
exercise,hard_ageing_relevance,3
exercise,healthspan_functional_ageing,16
exercise,surrogate_or_indirect,59
fasting,biological_ageing_biomarker,1
fasting,surrogate_or_indirect,12
lifestyle_bundle,healthspan_functional_ageing,1
lifestyle_bundle,surrogate_or_indirect,4
metformin,hard_ageing_relevance,2
metformin,surrogate_or_indirect,13
microbiome,biological_ageing_biomarker,2
microbiome,hard_ageing_relevance,2
microbiome,healthspan_functional_ageing,2
microbiome,surrogate_or_indirect,52
nad_sirtuin,biological_ageing_biomarker,2
nad_sirtuin,hard_ageing_relevance,1
nad_sirtuin,surrogate_or_indirect,63
rapamycin_mtor,biological_ageing_biomarker,3
rapamycin_mtor,hard_ageing_relevance,3
rapamycin_mtor,healthspan_functional_ageing,1
rapamycin_mtor,surrogate_or_indirect,27
reprogramming,biological_ageing_biomarker,1
reprogramming,hard_ageing_relevance,1
reprogramming,surrogate_or_indirect,11
senolytics,biological_ageing_biomarker,25
senolytics,hard_ageing_relevance,3
senolytics,healthspan_functional_ageing,3
senolytics,surrogate_or_indirect,32
sleep_circadian,surrogate_or_indirect,17
stem_cell,surrogate_or_indirect,34
supplements,hard_ageing_relevance,1
supplements,surrogate_or_indirect,6
