title,authors,year,journal,doi,pmid,url,publication_type,screen_label,screen_confidence,full_text_decision,full_text_screening_status,full_text_priority_score,full_text_priority_band,retrieval_status,retrieval_note,study_design,species_model,intervention_name,ageing_domain_category,outcome_exact,mechanism,missingness_flag,full_text_screening_note
Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,"Yap KH, Chen C, Chong EJY, Kandiah N, Kivipelto M, Lai MKP, Maier AB, Matchar DB, Phua AKS, Teo CKL, Xu X, Zhou HJ, Chen CPL.",2026.0,Alzheimers Dement,10.1002/alz.71313,41943481.0,,research-article; randomized controlled trial; journal article,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,106,priority_1_human_direct_ageing,retrieved_open_metadata,PMC full text likely available,RCT_or_clinical_trial,human,lifestyle_bundle,healthspan_functional_ageing,frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,"Zanotto T, Tabatabaei A, Lynch SG, He J, Lysaught M, Ahmadnezhad P, Ibude J, Devos H, Chaves LD, Troen BR, Sosnoff JJ.",2026.0,PLoS One,10.1371/journal.pone.0347063,41984883.0,,research-article; randomized controlled trial; journal article,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,106,priority_1_human_direct_ageing,retrieved_open_metadata,PMC full text likely available,RCT_or_clinical_trial,human,exercise,healthspan_functional_ageing,frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,Ni Lochlainn M; Bowyer RCE; Moll JM; García MP; Wadge S; Baleanu AF; Nessa A; Sheedy A,2024.0,Nature communications,,38424099.0,https://pubmed.ncbi.nlm.nih.gov/38424099/,Journal Article; Randomized Controlled Trial; Twin Study,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,103,priority_1_human_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,microbiome,healthspan_functional_ageing,cognition,microbiome_host,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,Tuan SH; Chang LH; Sun SF; Li CH; Chen GB; Tsai YJ,2024.0,Journal of medical Internet research,,39024000.0,https://pubmed.ncbi.nlm.nih.gov/39024000/,Journal Article; Randomized Controlled Trial,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,103,priority_1_human_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,exercise,healthspan_functional_ageing,frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,Yoon D.H.; Lee Jun-Young; Song Wook,2018.0,"The Journal of nutrition, health and aging",10.1007/s12603-018-1090-9,,https://doi.org/10.1007/s12603-018-1090-9,journal-article,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,103,priority_1_human_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,exercise,healthspan_functional_ageing,frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,"Zhu Z, Zhou X, Chen M, Dou C, Liu D, Kong L, Ye C, Xu M, Xu Y, Li M, Zhao Z, Zheng J, Lu J, Chen Y, Wang W, Ning G, Bi Y, Wang T.",2026.0,Lancet Reg Health West Pac,10.1016/j.lanwpc.2025.101780,41503609.0,,research-article; journal article,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,100,priority_1_human_direct_ageing,retrieved_open_metadata,PMC full text likely available,cohort,human,exercise,hard_ageing_relevance,mortality; frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Fasting-mimicking diet causes hepatic and blood markers changes indicating reduced biological age and disease risk.,Brandhorst S; Levine ME; Wei M; Shelehchi M; Morgan TE; Nayak KS; Dorff T; Hong K,2024.0,Nature communications,,38378685.0,https://pubmed.ncbi.nlm.nih.gov/38378685/,Randomized Controlled Trial; Journal Article,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,95,priority_1_human_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,fasting,biological_ageing_biomarker,biological age,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",Chung CL; Lawrence I; Hoffman M; Elgindi D; Nadhan K; Potnis M; Jin A; Sershon C,2019.0,GeroScience,,31761958.0,https://pubmed.ncbi.nlm.nih.gov/31761958/,Journal Article; Randomized Controlled Trial,include,0.75,likely_eligible_pending_full_text,pending_full_text_verification,95,priority_1_human_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,rapamycin_mtor,biological_ageing_biomarker,senescence,cellular_senescence; nutrient_sensing,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Influence of rapamycin on safety and healthspan metrics after one year: PEARL trial results.,Moel M; Harinath G; Lee V; Nyquist A; Morgan SL; Isman A; Zalzala S,2025.0,Aging,,40188830.0,https://pubmed.ncbi.nlm.nih.gov/40188830/,Journal Article; Randomized Controlled Trial,include,0.75,possibly_eligible_pending_full_text,pending_full_text_verification,85,priority_1_human_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,rapamycin_mtor,surrogate_or_indirect,healthspan,nutrient_sensing,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
"A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan.",Brandhorst S; Choi IY; Wei M; Cheng CW; Sedrakyan S; Navarrete G; Dubeau L; Yap LP,2015.0,Cell metabolism,,26094889.0,https://pubmed.ncbi.nlm.nih.gov/26094889/,"Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",include,0.75,possibly_eligible_pending_full_text,pending_full_text_verification,85,priority_1_human_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,fasting,surrogate_or_indirect,healthspan,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
RESISTANCE TRAINING AND CO-SUPPLEMENTATION WITH CREATINE AND PROTEIN IN OLDER SUBJECTS WITH FRAILTY,COLLINS J.; LONGHURST G.; ROSCHEL H.; GUALANO B.,2016.0,Journal of Frailty &amp; Aging,10.14283/jfa.2016.85,,https://doi.org/10.14283/jfa.2016.85,journal-article,include,0.8,likely_eligible_pending_full_text,pending_full_text_verification,83,priority_1_human_direct_ageing,link_available,Full text link or landing page available,unclear_or_metadata_only,human,exercise,healthspan_functional_ageing,frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.","Houston DK, Fanning J, Nicklas BJ, Delany JP, Hsu FC, Chen SH, Walkup M, Neiberg RH, Stowe CL, Kennedy K, Espeland MA, Ard JD, Miller ME, Rejeski WJ, Kritchevsky SB.",2026.0,J Gerontol A Biol Sci Med Sci,10.1093/gerona/glag061,41766355.0,,research-article; randomized controlled trial; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,73,priority_2_human_or_direct_ageing,retrieved_open_metadata,PMC full text likely available,RCT_or_clinical_trial,human,caloric_restriction,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
