title,intervention_classes,outcome_terms,topic_cluster,hype_terms_n,hype_flag,screen_label
Fecal Microbiota Transplantation for Microbiome Modulation: A Clinical View,microbiome,,1,0,False,uncertain
"Parabiosis, Assembloids, Organoids (PAO).",controversial,,0,0,False,uncertain
"A head‐to‐head comparison between senolytic therapies, dasatinib plus quercetin and fisetin, indicates sex‐ and genotype‐specific differences in translationally relevant outcomes",senolytics,,7,0,False,uncertain
Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,lifestyle_bundle,frailty,0,0,False,include
"An Updated Review on the Mechanisms, Pre‐Clinical and Clinical Comparisons of Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR)",nad_sirtuin,,4,0,False,uncertain
Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,exercise,,2,0,False,uncertain
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,,1,0,False,uncertain
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,,1,0,False,uncertain
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,,1,0,False,uncertain
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,,1,0,False,uncertain
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,,1,0,False,uncertain
Diet and Circadian Rhythms: Implications for Aging and Longevity,sleep_circadian,,0,0,False,uncertain
Fasting and Caloric Restriction for Healthy Aging and Longevity,caloric_restriction; fasting,,5,0,False,uncertain
Microbiome and Probiotics for Ischemic Stroke,microbiome,,1,0,False,uncertain
Ageing and Human Gut Microbiome: The Taxonomic and Functional Transition Towards an Elderly-Type Microbiome,microbiome,,1,0,False,uncertain
Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging,microbiome,senescence; inflammaging,1,0,False,include
Gut Microbiome and Virome: Anti-Aging Interventions,microbiome,,1,1,True,uncertain
Sleep and Clocks in Aging and Longevity,sleep_circadian,,0,0,False,uncertain
Circadian Rhythms and Time-Restricted Eating in Healthy Aging and Longevity,sleep_circadian,,0,0,False,uncertain
Optimum Sleep for Healthy Ageing,sleep_circadian,,6,0,False,uncertain
"Sleep, Ageing, and Cognitive Decline",sleep_circadian,,6,0,False,uncertain
Fecal Transplant: The Benefits and Harms of Fecal Microbiota Transplantation,microbiome,,1,0,False,uncertain
Caloric Restriction and Biomarkers of Aging,caloric_restriction,,5,0,False,uncertain
Circadian Clocks and mTOR Signaling,sleep_circadian; rapamycin_mtor,,0,0,False,uncertain
Stem Cell Aging: An Overview,stem_cell,,3,0,False,uncertain
Aging of Muscle Stem Cells,stem_cell,,3,0,False,uncertain
Aging of Human Mesenchymal Stem Cells,stem_cell,,3,0,False,uncertain
Aging of the Hematopoietic Stem Cell Niches,stem_cell,,3,0,False,uncertain
Hematopoietic Stem Cell Aging and Leukemogenesis,stem_cell,,3,0,False,uncertain
Closing the Circle: Stem Cell Rejuvenation and Longevity,stem_cell,rejuvenation,3,1,True,uncertain
Aging of Intestinal Stem Cells in Drosophila Melanogaster,stem_cell,,3,0,False,uncertain
Aging of Murine Hematopoietic Stem Cells,stem_cell,,3,0,False,uncertain
Aging of Human Haematopoietic Stem Cells,stem_cell,,3,0,False,uncertain
Aging of Mammalian Intestinal Stem Cells,stem_cell,,3,0,False,uncertain
"History of Caloric Restriction, Aging and Longevity",caloric_restriction,,5,0,False,uncertain
"Caloric Restriction, Fasting, and Antiaging Medicine: Fasting, the Biological Signals of Starvation, and Antiaging",caloric_restriction; fasting,,5,0,False,uncertain
Caloric Restriction and Starvation in Antiaging Medicine: Caloric Restriction Mimetics,caloric_restriction,,5,0,False,uncertain
Physical Activity and Anti-Aging: Prevention of Sarcopenia and Frailty Through Exercise,exercise,frailty,2,1,True,uncertain
Gut Microbiome and Brain Ageing,microbiome,,1,0,False,uncertain
Gut Microbiome and Brain Aging,microbiome,,1,0,False,uncertain
What is the role played by physical activity and exercise in the frailty syndrome? Perspectives for future research,exercise,frailty,6,0,False,uncertain
Probiotic and microbial modulation of polyamine production: an emerging avenue for neuroprotection in neurodegenerative disorders.,microbiome,,0,0,False,uncertain
Rejuvenation of cerebromicrovascular function in aged mice through heterochronic parabiosis: insights into neurovascular coupling and the impact of young blood factors.,controversial,rejuvenation,0,1,True,uncertain
Young blood-mediated cerebromicrovascular rejuvenation through heterochronic parabiosis: enhancing blood-brain barrier integrity and capillarization in the aged mouse brain.,controversial,rejuvenation,0,1,True,uncertain
"Impacts of systemic milieu on cerebrovascular and brain aging: insights from heterochronic parabiosis, blood exchange, and plasma transfer experiments.",controversial,,0,0,False,uncertain
Glucagon receptor signaling is indispensable for the healthspan effects of caloric restriction in aging male mice.,caloric_restriction,healthspan,5,0,False,uncertain
Safety of resistance training in the elderly,exercise,,2,0,False,uncertain
Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,exercise,frailty,2,0,False,include
NAD+ Precursors Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR): Potential Dietary Contribution to Health,nad_sirtuin,,4,0,False,uncertain
Recommendations from the European interdisciplinary council on ageing on physical activity and diet for mental health conditions in older adults.,exercise,,6,0,False,uncertain
Rapamycin (Sirolimus),rapamycin_mtor,,0,0,False,uncertain
Change of the hepatic cells in parabiosis between old and young rats,controversial,,0,0,False,uncertain
Changes in hepatic cell mitochondria during parabiosis between old and young rats,controversial,,0,0,False,uncertain
"Changes with aging, sex and physical exercise in murine natural killer activity and antibody-dependent cellular cytotoxicity",exercise,,6,0,False,uncertain
Influence of physical exercise on aging rats: I. Life-long exercise preserves patterns of spontaneous activity,exercise,,2,0,False,uncertain
Influence of physical exercise on aging rats: II. Life-long exercise delays aging of tail tendon collagen,exercise,,2,0,False,uncertain
"Mammalian Target of Rapamycin (mTOR), Aging, Neuroscience, and Their Association with Aging-Related Diseases",rapamycin_mtor,,0,0,False,uncertain
Fecal Microbiota and Probiotic Yogurt Intake,microbiome,,1,0,False,uncertain
NAD+: a crucial regulator of sirtuin activity in aging,nad_sirtuin,,6,0,False,uncertain
Fecal Microbiome Transplantation: An Offhand Recipe for Microbiome Therapeutics,microbiome,,1,0,False,uncertain
"Senomorphic, senolytic, and rejuvenation therapies",senolytics,rejuvenation,7,1,True,uncertain
Physical activity and health in an ageing workforce,exercise,,6,0,False,uncertain
Mechanisms of the anti-aging action of caloric restriction,caloric_restriction,,5,1,True,uncertain
Evolution of the anti-aging action of caloric restriction,caloric_restriction,,5,1,True,uncertain
Senolytic and senomorphic interventions to defy senescence-associated mitochondrial dysfunction,senolytics,senescence,7,0,False,uncertain
Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,caloric_restriction,,0,0,False,uncertain
Unraveling the meta-hallmarks between senescent and tumor cells: A new perspective for senolytic drug discovery.,senolytics,,7,0,False,uncertain
Caloric restriction and intermittent fasting: Two potential diets for successful brain aging,caloric_restriction; fasting,,5,0,False,uncertain
Telomerase activation: A potential key modulator for human healthspan and longevity,controversial,healthspan,0,0,False,uncertain
Dietary restriction and lifespan: Lessons from invertebrate models,caloric_restriction,lifespan,5,0,False,uncertain
The Role of Rapamycin in Healthspan Extension via the Delay of Organ Aging,rapamycin_mtor,healthspan,6,0,False,uncertain
Exercise interventions to improve physical frailty and physical frailty components in older adults with hypertension: A systematic review,exercise,frailty,2,0,False,uncertain
Comparison of anti-aging effect of PQQ (Pyrroloquinoline quinone) and NMN/NR (Nicotinamide mononucleotide /Nicotinamide riboside) – possible combination use,nad_sirtuin,,4,1,True,uncertain
The epigenetic rejuvenation promise: Partial reprogramming as a therapeutic strategy for aging and disease.,reprogramming,rejuvenation,0,1,True,uncertain
Senolytic cocktail dasatinib+quercetin (D+Q) ameliorate irradiation-induced bone loss in mice through inhibiting osteocyte senescence and SASP,senolytics,senescence,7,0,False,uncertain
"Aging, Rejuvenation, and Epigenetic Reprogramming: Resetting the Aging Clock",reprogramming,rejuvenation,0,1,True,uncertain
Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.,reprogramming,,0,1,True,uncertain
Circadian rhythm disruption impairs ovarian follicular development via NAD&lt;sup&gt;+&lt;/sup&gt; metabolic reprogramming.,sleep_circadian; nad_sirtuin,,0,0,False,uncertain
Fasting or caloric restriction for Healthy Aging,caloric_restriction; fasting,,5,0,False,uncertain
Fecal microbiota transplantation for antibiotic resistant bacteria decolonization,microbiome,,1,0,False,uncertain
Senolytic Cocktail Dasatinib Plus Quercetin Enhances the Antitumor Effect of Senescence-Inducing Radiotherapy in a Preclinical Model of Melanoma,senolytics,senescence,7,0,False,uncertain
The NAD-brain pharmacokinetic study of NAD augmentation in blood and brain using oral precursor supplementation.,nad_sirtuin; supplements,,0,0,False,uncertain
Probiotic potential of Parabacteroides johnsonii in mitigating age-related ovarian functional decline.,microbiome,,7,0,False,uncertain
Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,exercise,mortality; frailty,2,0,False,include
Muscle stem cell aging: identifying ways to induce tissue rejuvenation,stem_cell,rejuvenation,3,1,True,uncertain
The mitochondrial metabolic checkpoint in stem cell aging and rejuvenation,stem_cell,rejuvenation,3,1,True,uncertain
Towards personalized nicotinamide mononucleotide (NMN) supplementation: Nicotinamide adenine dinucleotide (NAD) concentration,nad_sirtuin; supplements,,4,0,False,uncertain
