study_id,first_author,year,clock,intervention_class,comparator,extraction_status,notes,effect_status,reason,effect_metric,hedges_g,se,variance,ci95_low,ci95_high,n_total
OlasoGonzalezG_2026_88c470,Olaso-Gonzalez G,2026,PhenoAge,exercise,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
LinS_2025_c63679,Lin S,2025,UNSPECIFIED_EPIGENETIC_AGE,exercise,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
ChapnickM_2025_d1605d,Chapnick M,2025,DunedinPACE,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
ChapnickM_2025_d1605d,Chapnick M,2025,GrimAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
ChapnickM_2025_d1605d,Chapnick M,2025,PhenoAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
StanfieldB_2026_967335,Stanfield B,2026,UNSPECIFIED_EPIGENETIC_AGE,exercise,placebo,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_7aa71b,Bozack AK,2025,GrimAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_7aa71b,Bozack AK,2025,GrimAge2,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_7aa71b,Bozack AK,2025,PhenoAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_7aa71b,Bozack AK,2025,Horvath,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_7aa71b,Bozack AK,2025,Hannum,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
RobinsonLA_2026_d1a7b4,Robinson LA,2026,GrimAge,caloric_restriction,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
RobinsonLA_2026_d1a7b4,Robinson LA,2026,Horvath,caloric_restriction,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
NwanajiEnweremJC_2024_cd243f,Nwanaji-Enwerem JC,2024,GrimAge,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
NwanajiEnweremJC_2024_cd243f,Nwanaji-Enwerem JC,2024,Horvath,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
NwanajiEnweremJC_2024_cd243f,Nwanaji-Enwerem JC,2024,DNAmTL,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
CorleyMJ_2025_ad19fa,Corley MJ,2025,DunedinPACE,pharmacological,placebo,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
CorleyMJ_2025_ad19fa,Corley MJ,2025,GrimAge,pharmacological,placebo,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
CorleyMJ_2025_ad19fa,Corley MJ,2025,PhenoAge,pharmacological,placebo,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
RslerW_2026_9ed59d,Rösler W,2026,DunedinPACE,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
RslerW_2026_9ed59d,Rösler W,2026,GrimAge,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
RslerW_2026_9ed59d,Rösler W,2026,PhenoAge,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
RslerW_2026_9ed59d,Rösler W,2026,Horvath,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
RslerW_2026_9ed59d,Rösler W,2026,Hannum,other,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_90311c,Bozack AK,2025,GrimAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_90311c,Bozack AK,2025,GrimAge2,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_90311c,Bozack AK,2025,PhenoAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_90311c,Bozack AK,2025,Horvath,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_90311c,Bozack AK,2025,Hannum,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackAK_2025_90311c,Bozack AK,2025,DNAmTL,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
WaziryR_2023_29b3ce,Waziry R,2023,DunedinPACE,caloric_restriction,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
WaziryR_2023_29b3ce,Waziry R,2023,GrimAge,caloric_restriction,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
WaziryR_2023_29b3ce,Waziry R,2023,PhenoAge,caloric_restriction,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackA_2025_e4438c,Bozack A,2025,GrimAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackA_2025_e4438c,Bozack A,2025,GrimAge2,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackA_2025_e4438c,Bozack A,2025,PhenoAge,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackA_2025_e4438c,Bozack A,2025,Horvath,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackA_2025_e4438c,Bozack A,2025,Hannum,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
BozackA_2025_e4438c,Bozack A,2025,DNAmTL,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
MichelsKB_2024_d5c4df,Michels KB,2024,UNSPECIFIED_EPIGENETIC_AGE,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
CorleyMJ_2024_9a5fed,Corley MJ,2024,GrimAge,pharmacological,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
CorleyMJ_2024_9a5fed,Corley MJ,2024,PhenoAge,pharmacological,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
NdhlovuLC_2025_a7e788,Ndhlovu LC,2025,UNSPECIFIED_EPIGENETIC_AGE,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
Anon_2022_76cf8d,Anon,2022,DunedinPACE,caloric_restriction,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
Anon_2022_76cf8d,Anon,2022,GrimAge,caloric_restriction,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
WangS_2025_28ec80,Wang S,2025,UNSPECIFIED_EPIGENETIC_AGE,supplement,placebo,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
LukkahataiN_2023_edac4e,Lukkahatai N,2023,UNSPECIFIED_EPIGENETIC_AGE,exercise,RCT_comparator_unspecified,extracted_complete,"Full effect-size set extracted (enhanced). Sources: XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",calculated_candidate,complete change-score data available; direction requires author confirmation,Hedges_g_change_intervention_minus_control,0.2115535278875296,0.6476602871986752,0.4194638476142704,-1.0578606350218738,1.480967690796933,10.0
AlkemaA_2026_773590,Alkema A,2026,UNSPECIFIED_EPIGENETIC_AGE,supplement,placebo,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
MerrillSM_2024_5ee99d,Merrill SM,2024,DunedinPACE,exercise,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
YaskolkaMeirA_2023_ba151d,Yaskolka Meir A,2023,DunedinPACE,supplement,RCT_comparator_unspecified,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.,not_calculable,missing complete change-score n/mean/sd,,,,,,,
