study_id,title,doi,pmid,rescue_status,rescue_method,local_path,epmc_pmcid,epmc_is_open_access
ChapnickM_2025_d1605d,Early-life nutrition supplementation and epigenetic age in middle-adulthood among Guatemalan adults,10.1101/2025.09.25.678652,,retrieved,unpaywall_url,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\ChapnickM_2025_d1605d.html,,N
Anon_2022_76cf8d,DOES CALORIC RESTRICTION SLOW THE PROCESS OF BIOLOGICAL AGING? EVIDENCE FROM THE CALERIE TRIAL,,,retrieved,epmc_xml,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\Anon_2022_76cf8d.xml,PMC9766598,Y
AlkemaA_2026_773590,S-adenosylmethionine as an epigenetic treatment of depression in adults with childhood trauma.,10.1080/17501911.2026.2645001,42027147,retrieved,unpaywall_url,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\AlkemaA_2026_773590.html,,N
LiS_2026_ed6e27,Effects of daily multivitamin-multimineral and cocoa extract supplementation on epigenetic aging clocks in the COSMOS randomized clinical trial.,10.1038/s41591-026-04239-3,41803341,failed,not_rxiv_doi,,,N
WeberDM_2025_984085,Relationship intervention moderates the association between substance use and biological aging among Black adults.,10.1037/hea0001495,40167560,retrieved,unpaywall_url,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\WeberDM_2025_984085.html,PMC12353662,N
Anon_2022_70e2d6,VITAMIN D DEFICIENCY AND FASTER EPIGENETIC AGING: RESULTS FROM THE BERLIN AGING STUDY II (BASE-II),,,retrieved,epmc_xml,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\Anon_2022_70e2d6.xml,PMC9766449,Y
ChenL_2019_c57fe5,Effects of Vitamin D3 Supplementation on Epigenetic Aging in Overweight and Obese African Americans With Suboptimal Vitamin D Status: A Randomized Clinical Trial.,10.1093/gerona/gly223,30256915,retrieved,unpaywall_url,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\ChenL_2019_c57fe5.html,PMC6612014,N
ZhangB_2026_5cf019,Interpretable machine learning with SHAP analysis identifies redox-modulating dietary antioxidants for predicting accelerated biological aging.,10.1016/j.exger.2026.113168,42119652,retrieved,unpaywall_url,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\ZhangB_2026_5cf019.html,,N
Ramsteijn_2026_051063,P1309 Biological age acceleration in Crohn’s Disease patients in long-term remission on combination therapy: epigenetic analysis of the SPARE &amp; STORI trial population,10.1093/ecco-jcc/jjaf231.1490,,failed,not_rxiv_doi,,,
EstebanCantos_2021_63f044,Epigenetic age acceleration changes 2 years after antiretroviral therapy initiation in adults with HIV: a substudy of the NEAT001/ANRS143 randomised trial,10.1016/s2352-3018(21)00006-0,33794182,failed,not_rxiv_doi,,,N
Anon_2022_df1726,"Slow Age: a Randomized, Controlled Clinical Trial of Interventions to Slow Aging in Humans",,,failed,not_rxiv_doi,,,
