title,rob_randomization,rob_blinding,rob_missing_data,rob_confounding,rob_outcome_measurement,rob_selective_reporting,rob_overall
Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,low_concern,some_concern,unclear,low_concern_rct_design,low_or_some_concern,unclear_without_protocol,some_concern
Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,low_concern,low_concern,some_concern,low_concern_rct_design,low_or_some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,low_concern,low_concern,unclear,low_concern_rct_design,low_or_some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,low_concern,some_concern,unclear,low_concern_rct_design,low_or_some_concern,unclear_without_protocol,some_concern
Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,some_concern,some_concern,unclear,low_concern_rct_design,low_or_some_concern,unclear_without_protocol,some_concern
Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,not_applicable,not_applicable_or_unclear,some_concern,some_concern_observational_confounding,low_or_some_concern,unclear_without_protocol,some_concern
Fasting-mimicking diet causes hepatic and blood markers changes indicating reduced biological age and disease risk.,low_concern,some_concern,unclear,low_concern_rct_design,low_or_some_concern,unclear_without_protocol,some_concern
"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",some_concern,low_concern,some_concern,low_concern_rct_design,low_or_some_concern,unclear_without_protocol,some_concern
Influence of rapamycin on safety and healthspan metrics after one year: PEARL trial results.,low_concern,low_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
"A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan.",some_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
RESISTANCE TRAINING AND CO-SUPPLEMENTATION WITH CREATINE AND PROTEIN IN OLDER SUBJECTS WITH FRAILTY,unclear_or_not_applicable,unclear_or_not_applicable,unclear,serious_or_unclear,low_or_some_concern,unclear_without_protocol,serious_or_unclear
"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.",low_concern,low_concern,some_concern,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
