source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at,dedup_key,title_norm,screen_label,screen_confidence,exclusion_reason,intervention_classes,outcome_terms,evidence_model,retrieval_status,retrieval_note
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",e204401e887996258caeba002c1c6001,Fecal Microbiota Transplantation for Microbiome Modulation: A Clinical View,,Konturek Peter C.; Hess Thomas; Dieterich Walburga; Zopf Yurdagül,2022.0,Principles in Microbiome Engineering,10.1002/9783527825462.ch8,,,https://doi.org/10.1002/9783527825462.ch8,other,False,2026-04-23T01:41:51,doi:10.1002/9783527825462.ch8,fecal microbiota transplantation for microbiome modulation a clinical view,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",5cb64a4ba315f5114b63274a625cc42e,"Parabiosis, Assembloids, Organoids (PAO).",,"Hong Y, Li L, Yan L, Bai L, Su J, Zhang X.",2026.0,Adv Sci (Weinh),10.1002/advs.202511671,41014607.0,PMC12866807,,review-article; review; journal article,False,2026-04-23T01:41:56,doi:10.1002/advs.202511671,parabiosis assembloids organoids pao,uncertain,0.45,ageing_outcome_unclear,controversial,,cellular,retrieved_open_metadata,PMC full text likely available
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),fd392e51c8f3edf6495a75c85eb2d7aa,"A head‐to‐head comparison between senolytic therapies, dasatinib plus quercetin and fisetin, indicates sex‐ and genotype‐specific differences in translationally relevant outcomes",,Garbarino Valentina R; Tran Sydney; Glassman Jordan E; Kirkland James L; Musi Nicolas; Seshadri Sudha; Orr Miranda E,2020.0,Alzheimer's &amp; Dementia,10.1002/alz.047607,,,https://doi.org/10.1002/alz.047607,journal-article,False,2026-04-23T01:41:38,doi:10.1002/alz.047607,a head to head comparison between senolytic therapies dasatinib plus quercetin and fisetin indicates sex and genotype specific differences in translationally relevant outcomes,uncertain,0.45,ageing_outcome_unclear,senolytics,,unclear,link_available,Full text link or landing page available
europe_pmc,mixed,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",3ce372f9bebc001045867c7b00b93841,Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,,"Yap KH, Chen C, Chong EJY, Kandiah N, Kivipelto M, Lai MKP, Maier AB, Matchar DB, Phua AKS, Teo CKL, Xu X, Zhou HJ, Chen CPL.",2026.0,Alzheimers Dement,10.1002/alz.71313,41943481.0,PMC13053931,,research-article; randomized controlled trial; journal article,False,2026-04-23T01:41:13,doi:10.1002/alz.71313,baseline characteristics of the singapore geriatric intervention study to reduce cognitive decline and physical frailty singer multidomain dementia prevention randomized controlled trial and insights from the recruitment process,include,0.75,,lifestyle_bundle,frailty,human,retrieved_open_metadata,PMC full text likely available
crossref,bibliographic,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",bea464fd79c584beb509fef3d7b45f10,"An Updated Review on the Mechanisms, Pre‐Clinical and Clinical Comparisons of Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR)",,Yang Xu; Lu Anni; Guan Xiao; Ying Tianlei; Pan Jingrong; Tan Mingqian; Lu Jun,2025.0,Food Frontiers,10.1002/fft2.511,,,https://doi.org/10.1002/fft2.511,journal-article,False,2026-04-23T01:41:30,doi:10.1002/fft2.511,an updated review on the mechanisms pre clinical and clinical comparisons of nicotinamide mononucleotide nmn and nicotinamide riboside nr,uncertain,0.45,ageing_outcome_unclear,nad_sirtuin,,unclear,link_available,Full text link or landing page available
europe_pmc,mixed,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",5c23f56c80135ada2d7b4738e4b9223f,Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,,"Muñoz-Pardeza J, López-Gil JF, Hormazábal-Aguayo I, Izquierdo M, Agostinis-Sobrinho C, Ezzatvar Y, García-Hermoso A.",2026.0,J Cachexia Sarcopenia Muscle,10.1002/jcsm.70257,41854192.0,,,randomized controlled trial; journal article,False,2026-04-23T01:41:13,doi:10.1002/jcsm.70257,effects of diactive 1 supported progressive resistance training on body composition in youth with type 1 diabetes,uncertain,0.45,ageing_outcome_unclear,exercise,,human,abstract_or_metadata_only,No full text link captured
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",036ef1150611d5e7a2776ef82d1cae3c,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v1/decision1,,,https://doi.org/10.1002/vms3.70854/v1/decision1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/decision1,decision letter for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",1255161fbed048e4223123bb5f92daf3,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,Agnieszka Zak-Bochenek,2025.0,,10.1002/vms3.70854/v1/review1,,,https://doi.org/10.1002/vms3.70854/v1/review1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/review1,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",37113ddbbfcebfa5de80ea663f4b9be5,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v1/review2,,,https://doi.org/10.1002/vms3.70854/v1/review2,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/review2,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",fc03bf8b78f2d4b313c9ea3a7433fe3a,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2026.0,,10.1002/vms3.70854/v2/decision1,,,https://doi.org/10.1002/vms3.70854/v2/decision1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v2/decision1,decision letter for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
