source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at,dedup_key,title_norm
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),e1f3e10150f8b83188df71f53ea1362d,Unlocking the biochemical secrets of longevity: balancing healthspan and lifespan,,Viña Jose; Borrás Consuelo,2024.0,FEBS Letters,10.1002/1873-3468.14963,,,https://doi.org/10.1002/1873-3468.14963,journal-article,False,2026-04-23T01:40:44,doi:10.1002/1873-3468.14963,unlocking the biochemical secrets of longevity balancing healthspan and lifespan
europe_pmc,mixed,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",c298d35eef8bf69d4b6ad2ad225467dc,Hematopoietic (stem) cells-The elixir of life?,,"Cerezo EL, Anderson J, Vedrenne ED, Martín NY, Lengefeld J.",2026.0,FEBS Lett,10.1002/1873-3468.70215,41343291.0,PMC12926863,,other; review; journal article,False,2026-04-23T01:40:57,doi:10.1002/1873-3468.70215,hematopoietic stem cells the elixir of life
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",e204401e887996258caeba002c1c6001,Fecal Microbiota Transplantation for Microbiome Modulation: A Clinical View,,Konturek Peter C.; Hess Thomas; Dieterich Walburga; Zopf Yurdagül,2022.0,Principles in Microbiome Engineering,10.1002/9783527825462.ch8,,,https://doi.org/10.1002/9783527825462.ch8,other,False,2026-04-23T01:41:51,doi:10.1002/9783527825462.ch8,fecal microbiota transplantation for microbiome modulation a clinical view
europe_pmc,mixed,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",da0293aaf51ba9d700b3929024df4ba0,PRC2-Related Epigenetic Age Acceleration in Acute Myeloid Leukemia with DNMT3A and IDH2 Mutations.,,"Yan Z, Yuan L, Wang J, Gu S, Lei Y.",2026.0,Adv Biol (Weinh),10.1002/adbi.202500710,41556261.0,PMC12817234,,research-article; journal article,False,2026-04-23T01:40:50,doi:10.1002/adbi.202500710,prc2 related epigenetic age acceleration in acute myeloid leukemia with dnmt3a and idh2 mutations
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",5cb64a4ba315f5114b63274a625cc42e,"Parabiosis, Assembloids, Organoids (PAO).",,"Hong Y, Li L, Yan L, Bai L, Su J, Zhang X.",2026.0,Adv Sci (Weinh),10.1002/advs.202511671,41014607.0,PMC12866807,,review-article; review; journal article,False,2026-04-23T01:41:56,doi:10.1002/advs.202511671,parabiosis assembloids organoids pao
europe_pmc,mixed,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),b11f8906e1baaaa42ecfe08a9e3aa222,Integrative Approaches to Treating Cellular Senescence in Kidney Disease.,,"Misawa T, A A, Hickson LJ, Wolfram J.",2026.0,Adv Sci (Weinh),10.1002/advs.202519392,41831318.0,PMC13073271,,review-article; review; journal article,False,2026-04-23T01:41:22,doi:10.1002/advs.202519392,integrative approaches to treating cellular senescence in kidney disease
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),fd392e51c8f3edf6495a75c85eb2d7aa,"A head‐to‐head comparison between senolytic therapies, dasatinib plus quercetin and fisetin, indicates sex‐ and genotype‐specific differences in translationally relevant outcomes",,Garbarino Valentina R; Tran Sydney; Glassman Jordan E; Kirkland James L; Musi Nicolas; Seshadri Sudha; Orr Miranda E,2020.0,Alzheimer's &amp; Dementia,10.1002/alz.047607,,,https://doi.org/10.1002/alz.047607,journal-article,False,2026-04-23T01:41:38,doi:10.1002/alz.047607,a head to head comparison between senolytic therapies dasatinib plus quercetin and fisetin indicates sex and genotype specific differences in translationally relevant outcomes
europe_pmc,mixed,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",3ce372f9bebc001045867c7b00b93841,Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,,"Yap KH, Chen C, Chong EJY, Kandiah N, Kivipelto M, Lai MKP, Maier AB, Matchar DB, Phua AKS, Teo CKL, Xu X, Zhou HJ, Chen CPL.",2026.0,Alzheimers Dement,10.1002/alz.71313,41943481.0,PMC13053931,,research-article; randomized controlled trial; journal article,False,2026-04-23T01:41:13,doi:10.1002/alz.71313,baseline characteristics of the singapore geriatric intervention study to reduce cognitive decline and physical frailty singer multidomain dementia prevention randomized controlled trial and insights from the recruitment process
europe_pmc,mixed,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",18c1a71cda2b83e96c666a270bf012ee,Accelerated epigenetic aging as a modifier of homocysteine-associated cognitive decline: Findings from NHANES.,,"Li H, Chen Y, Wang Z, Wang Y, Bi R, Hou J, Chen H, Zhang Z, Guo Z, Chen Z, Cui H, Li S.",2026.0,Alzheimers Dement,10.1002/alz.71349,41943508.0,PMC13053932,,research-article; journal article; observational study,False,2026-04-23T01:40:50,doi:10.1002/alz.71349,accelerated epigenetic aging as a modifier of homocysteine associated cognitive decline findings from nhanes
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",447798425a5610fca3986fe98b270478,Estimating Polar Bear ( <i>Ursus maritimus</i> ) Age Based on an Epigenetic <scp>DNA</scp> Methylation Clock,,Woodruff Susannah P.; Milčiūtė Milda; Gordevičius Juozas; Brooke Robert; Atwood Todd C.,2025.0,Ecology and Evolution,10.1002/ece3.71870,,,https://doi.org/10.1002/ece3.71870,journal-article,False,2026-04-23T01:40:51,doi:10.1002/ece3.71870,estimating polar bear i ursus maritimus i age based on an epigenetic scp dna scp methylation clock
crossref,bibliographic,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",eaaa7f3980d595fe21e00afb6188698f,"Decision letter for ""Reverse aging to treat lupus""",,,2024.0,,10.1002/eji.202451274/v1/decision1,,,https://doi.org/10.1002/eji.202451274/v1/decision1,peer-review,False,2026-04-23T01:40:58,doi:10.1002/eji.202451274/v1/decision1,decision letter for reverse aging to treat lupus
crossref,bibliographic,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",8985064ce2a9bbfd201a6dbc0081fd77,"Decision letter for ""Reverse aging to treat lupus""",,,2024.0,,10.1002/eji.202451274/v2/decision1,,,https://doi.org/10.1002/eji.202451274/v2/decision1,peer-review,False,2026-04-23T01:40:58,doi:10.1002/eji.202451274/v2/decision1,decision letter for reverse aging to treat lupus
