pmcid,pmid,doi,title,year,journal,url,evidence_source_set,intervention_node_prelim,article_title_mined,first_reviewer_fulltext_decision,first_reviewer_reason,rct_signal,frailty_signal,sarcopenia_signal,older_adult_signal,intervention_signal,comparator_signal,outcome_signal,protocol_or_review_signal,disease_specific_signal,hospital_or_residential_signal,community_home_signal,detected_outcomes,randomization_snippet,intervention_snippet,comparator_snippet,results_snippet,second_reviewer_decision,consensus_decision,consensus_reason
PMC10086760,36416166.0,10.23736/s1973-9087.22.07612-2,Beneficial effects of walking-based home program for improving cardio-respiratory performance and physical activity in sarcopenic older people: a randomized controlled trial.,2022.0,,https://europepmc.org/article/MED/36416166,expanded_accessible_search,exercise_plus_nutrition,Beneficial effects of walking-based home program for improving cardio-respiratory performance and physical activity in sarcopenic older people: a randomized controlled trial,secondary_sarcopenia_verify,Sarcopenia/vulnerability RCT; frailty-primary status requires verification,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,frailty;gait_speed;grip_strength;falls;quality_of_life;adverse_events,"73-9087.22.07612-2 7612 1 Article Beneficial effects of walking-based home program for improving cardio-respiratory performance and physical activity in sarcopenic older people: a randomized controlled trial YUENYONGCHAIWAT Kornanong 1 2 * AKEKAWATCHAI Chareeporn 3 4 1 Department of Physiotherapy, Faculty of Allied Health Sciences , Thammasat University , Bangkok , Th","h a reduced risk of sarcopenia. Additionally, the World Health Organization 2020 guidelines recommend 150 minutes/week of moderate-intensity or 75 minutes/week of vigorous PA plus resistance exercise twice a week. An increase in walking steps/day also enhances PA. AIM The study explored the benefits of a pedometer-based walking program plus a resistance exercise progr","er 12 weeks. The intervention group was required to wear a pedometer and walk 7 500 steps/day for 5 days/week and perform the TheraBand resistance exercise twice a week, while the control group continued their routine daily activities. Respiratory muscle strength, functional capacity ( i.e. , 6-minute walk test), and PA were assessed before and after the 12-week program.","RESULTS Sixty older individuals with sarcopenia aged ≥60 years were enrolled; however, a total of 57 older adults (28 in the invention group and 29 in the control group) completed the study. Inspiratory muscle strength, functional capacity, and PA increased between and within groups after the 12-week program (all P<0.05). Furthermore, muscle strength and physical performance improved in the intervention group after the 12-week program but not in the control group.
Results Sixty community-dwelling older adults with sarcopenia agreed to participate, and 57 participants completed the 12-week intervention program. Of the three participants who did not complete the study, two had knee pain due to walking and one did not want to participate in the study. Therefore, 28 and 29 older adults in the intervention and control groups, respectively, were analyzed ( Figure 1 ). No statistically significant differences were observed between the intervention and control groups including comorbidities (P>0.05) ( Table I ). Baseline steps/day were defined as sedentary PA (accumulating <5000 steps/day) 30 or basal activity (<2500 steps/day) 31 in both the intervention and control groups (P>0.05). Figure 1 —Flow diagram showing the study recruitment process. Table I — Baselines characterize data. Total (N.=60) Mean (SD) Intervention group (N.=30) Mean (SD) Control group (N.=30) Mean (SD) 95% CI P value Sex 1.364* 0.382 Female (%) 44 (73.33) 20 (33.33) 24 (40.00) Male (%) 16 (26.67) 10 (16.67) 6 (10.00) Age (years) 70.58 (6.10) 69.23 (6.71) 71.93 (5.19) -5.80 to 0.40 0.086 Comorbidities Diabetes mellitus (%) 1.491* 0.360 Underlying of diabetes mellitus 14 (23.33) 5 (8.33) 9 (15.00) No history of diabetes mellitus 46 (76.67) 25 (41.67) 21 (35.00) Dyslipidemia (%) 0.000* 1.000 Underlying of dys",,,
PMC10097015,37049448.0,10.3390/nu15071607,The Impact of Nutrition and Oral Function Exercise on among Community-Dwelling Older People.,2023.0,Nutrients,https://pubmed.ncbi.nlm.nih.gov/37049448/,original_high_confidence,nutrition_only,The Impact of Nutrition and Oral Function Exercise on among Community-Dwelling Older People,defer_second_reviewer,Comparator not clearly confirmed from mined fields,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,frailty;grip_strength;quality_of_life;adverse_events,"and nutritional status at the baseline. The participants involved in the study were 26 community-dwelling older people with low TP, <30 kPa, aged ≥65 years, who were enrolled in a randomized controlled trial for a month in Itoshima City, Fukuoka, Japan. Oral and physical functions and body composition were measured at the baseline and at follow-up. Two-way analysis of",2072-6643 Multidisciplinary Digital Publishing Institute (MDPI) PMC10097015 PMC10097015.1 10097015 10097015 37049448 10.3390/nu15071607 nutrients-15-01607 1 Article The Impact of Nutrition and Oral Function Exercise on among Community-Dwelling Older People Tani Asuka 1 https://orcid.org/0000-0003-1512-1270 Mizutani Shinsuke 1 2 * https://orcid.org/0000-0001-8944-153,,"3. Results 3.1. Participant’s Characteristics Figure 1 shows the flowchart of this study. Initially, 78 individuals with low tongue pressure (<30 kPa) were invited to participate in the study, of which 28 consented to participate in the study. However, two participants dropped out before the baseline evaluation because of personal reasons. The participant age ranged from 75 to 81 years, with a mean of 74.0 ± 3.7 years. As shown in Table 2 , the 26 participants were distributed into 13 in the tablet-based group (five men and eight women; mean ± SD age, 74.1 ± 3.8 years) and 13 in the paper-based group (eight men and five women; 73.9 ± 3.6 years) at the baseline. The baseline examination results of the two groups were compared. No significant difference was found between the tablet- and paper-based groups in all physical and oral categories at the baseline. 3.2. Intervention Effect Table 3 shows the results of the two-way analysis of variance comparing the tablet- and paper-based groups at the baseline and after intervention. The items showing interaction (intervention × between groups) included muscle mass ( p = 0.024), skeletal muscle mass ( p = 0.029), and SMI ( p = 0.032). No difference was detected in the pattern of change of interaction for any other item, which indicated that the trend of change was similar between the groups. Moreover, no significant difference was observed between the two groups, that is, the tablet group and the paper-based group, either at the baseline or at follow-up. The items in which the main effects of the intervention were observed included weight ( p = 0.003), BMI ( p = 0.004), maximum masticatory performance ( p = 0.010), maximum tongue pressure ( p = 0.035), and ODK /pa/ and /ka/ ( p = 0.009 and 0.017, respectively). 3.3. Nutrient Inta",,,
PMC10100027,36426763.0,10.1111/ggi.14511,"Adherence, safety and potential effectiveness of a home-based Radio-Taiso exercise program in older adults with frailty: A pilot randomized controlled trial.",2023.0,Geriatrics & gerontology international,https://pubmed.ncbi.nlm.nih.gov/36426763/,original_high_confidence,digital_home_unclear_intervention,"Adherence, safety and potential effectiveness of a home‐based Radio‐Taiso exercise program in older adults with frailty: A pilot randomized controlled trial",exclude,Protocol/review signal in full-text-mined fields,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,frailty;sppb;adl;falls;quality_of_life;adherence;adverse_events,"ticles: Epidemiology, Clinical Practice and Health Adherence, safety and potential effectiveness of a home‐based Radio‐Taiso exercise program in older adults with frailty: A pilot randomized controlled trial Feasibility study of Radio‐Taiso Y Osuka et al. Osuka Yosuke https://orcid.org/0000-0002-5744-1961 1 osuka@tmig.or.jp Sasai Hiroyuki 1 Kojima Narumi https://orcid",".1111/ggi.14511 GGI14511 1 Original Article Original Articles: Epidemiology, Clinical Practice and Health Adherence, safety and potential effectiveness of a home‐based Radio‐Taiso exercise program in older adults with frailty: A pilot randomized controlled trial Feasibility study of Radio‐Taiso Y Osuka et al. Osuka Yosuke https://orcid.org/0000-0002-5744-1961 1 osuk",zed controlled trial included community‐dwelling Jolder Japanese adults with frailty and pre‐frailty. Fifty‐eight eligible participants were randomly allocated to intervention and control groups. Intervention participants performed 3–5‐min sessions of Radio‐Taiso one to four times per day for 12 weeks. Feasibility criteria were set at practice and retention rates of ≥75%,"Results Both practice (83%) and retention rates (100%) met the predetermined feasibility criteria. Eleven adverse events were reported but were supposedly unrelated to the intervention. In the intention‐to‐treat analysis, there was no clinically significant difference in the change in SPPB score between groups (−0.4 points, 95% confidence interval [CI], −1.2, 0.3); however, the intervention group scored higher in the mental component of HR‐QoL than did the control group (3.4 points, 95% CI: −1.1, 7.8).
Results Enrollment Figure 1 shows the study flow. During October 2020, 902 older adults participated in the comprehensive geriatric survey. Of these, 514 participants who met the pre‐frailty or frailty criteria received the invitation letter. In total, 186 individuals who met all the eligibility criteria volunteered to participate, among which 60 were randomly selected and sent a baseline assessment invitation. Fifty‐eight older adults participated in the baseline assessment and were randomly assigned to two groups. No participants withdrew from the intervention or were lost to follow‐up. Figure 1 Flow diagram of the study. Baseline characteristics Table 2 shows the baseline characteristics of participants. The median age was 77 years (interquartile range, 73–80). Overall, 84.5% were women; 10.3% were older adults with frailty; and the median SPPB score at baseline assessment for all participants was 6 points (interquartile range, 5–8). Table 2 Characteristics of the study participants Characteristics Intervention group Control group N = 29 N = 29 Age, years 77 [72, 82] 77 [74, 79] Sex, women 25 (86.2) 24 (82.8) Hypertension, yes 16 (55.2) 7 (24.1) Heart disease, yes 9 (31.0) 2 (6.9) Diabetes, yes 8 (27.6) 4 (13.8) Hyperlipidemia, yes 13 (44.8) 8 (27.6) Osteoporosis, yes ",,,
PMC10146965,37111195.0,10.3390/nu15081976,"Efficacy of Dietary Intervention with Group Activities on Dietary Intakes, Frailty Status, and Working Memory: A Cluster-Randomized Controlled Trial in Community Strongholds.",2023.0,,https://europepmc.org/article/MED/37111195,expanded_accessible_search,nutrition_only,"Efficacy of Dietary Intervention with Group Activities on Dietary Intakes, Frailty Status, and Working Memory: A Cluster-Randomized Controlled Trial in Community Strongholds",exclude,Protocol/review signal in full-text-mined fields,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,frailty;gait_speed;grip_strength;adl;quality_of_life;adherence;adverse_events,"5 37111195 10.3390/nu15081976 nutrients-15-01976 1 Article Efficacy of Dietary Intervention with Group Activities on Dietary Intakes, Frailty Status, and Working Memory: A Cluster-Randomized Controlled Trial in Community Strongholds https://orcid.org/0000-0001-5743-0253 Wu Szu-Yun Methodology Formal analysis Investigation Data curation Writing – original draft Writing","6643 Multidisciplinary Digital Publishing Institute (MDPI) PMC10146965 PMC10146965.1 10146965 10146965 37111195 10.3390/nu15081976 nutrients-15-01976 1 Article Efficacy of Dietary Intervention with Group Activities on Dietary Intakes, Frailty Status, and Working Memory: A Cluster-Randomized Controlled Trial in Community Strongholds https://orcid.org/0000-0001-5743-0253","the study, and 211 subjects completed the baseline assessment and received intervention. The number of subjects in the community centers were 18, 20, 21,14, 21, 14, and 16 for the control group, and 11, 15, 14, 17, 17, and 13 for the intervention group. 2.4. Study Design The study was a cluster-randomized, single-blind, and parallel controlled trial that consisted of a 3","3. Results Among the 211 participants, 201 participated in the intervention and completed post-intervention measurement, and 187 further completed the 6-month follow-up measurement ( Figure 1 ). During the intervention period, the attendance rates of the control and the nutrition group were 86.8% and 79.8%, respectively. 3.1. Baseline Characteristics The baseline characteristics and habitual dietary intakes of the participants are presented in Table 1 and Table 2 , respectively. The study population was primarily women (76.3%) with some self-reported comorbidities, mean age at mid-70th, and mean body mass index (BMI) near 24. The sex distribution, self-reported comorbidity, GDS-SF score, and distribution of frailty components were not significantly different between the two groups. However, the nutrition group was significantly older (by 2 years), with fewer participants who had been educated for more than 6 years (by 17%), and with higher mean BMI values (by 1 unit), poorer working memories (both forward and reverse digit span by less than 1 digit), and lowered number cancellation task scores (by 3 scores). However, the differences of magnitude are small in general. The mean energy intake was 1368 ± 26.5 Kcal, and the distributions of energy from carbohydrates, proteins, and fat were 57.6%, 14.7%, and 27.7%, respectively, with no significant difference between the two groups. In terms of the six food groups, significantly lower intakes of non-refined grains and roots (by 0.25 bowls) and dairy (by 0.13 servings) were observed in the nutrition group. 3.2. Effect of Nutrition Education Program on Dietary Intakes Figure 2 depicts the trends of dietary intakes from baseline to the end of follow-up. The results of the intervention effects on dietary intakes are summarized in",,,
PMC10230140,37357328.0,10.1007/s12603-023-1928-7,"Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial.",2023.0,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/37357328/,original_high_confidence,exercise_plus_nutrition,"Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial",include_secondary_setting,Frailty RCT but setting likely hospital/residential or mixed,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,frailty;gait_speed;sppb;grip_strength;adl;falls;quality_of_life;adherence;adverse_events,"inal Research Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial Tan L. F. 1 Chan Y. H. 2 Seetharaman S. 1 Denishkrshna A. 2 Au L. 3 Kwek S. C. 4 Chen M. Z. 5 Ng S. E. 5 Hui R. J. Y. 4 Merchant Reshma A. reshmaa@nuhs.edu.sg 2 5","pmc J Nutr Health Aging J Nutr Health Aging 3814 phenaturepg The Journal of Nutrition, Health & Aging 1279-7707 1760-4788 pmc-is-collection-domain yes pmc-collection-title Springer Nature - PMC COVID-19 Collection PMC10230140 PMC10230140.1 10230140 10230140 3735732","nths exercise (Ex) versus complementary effect of 3 months of cognitive stimulation therapy (CST) to 6 months of Ex (Ex+CST) on physical function, muscle mass and cognition versus control group at 3, 6 and 12 months ii) inflammatory biomarkers such as Interleukin-6 (IL-6) and Tumor Necrosis Factor Alpha (TNF-α). Design Cluster randomised control trial. Setting & Interven","Results Data from 190 participants was analysed at 3 months (111 control, 37 Ex and 41 Ex+CST). At 3 months, significant improvement in cognition was seen only in the Ex+CST group whereas improvements in depression, gait speed, SPPB and 5x-STS were seen in both the Ex and Ex+CST groups. At 6 months, the Ex+CST group improved in cognition and depression whereas improvement in frailty and muscle mass indices were seen in both the interventions groups. At 12 months, both the interventions groups had better perceived health, gait speed and less decline in muscle mass compared with control groups. Both the Ex and Ex+CST had significant association with TNF-α at 3 months (β −2.71 (95% CI −4.80–−0.62); p = 0.012 and β −1.74 (95% CI −3.43–−0.06); p = 0.043 respectively).
Results A total of 324 participants were initially enrolled in the study just before the Covid-19 pandemic with 187 allocated to the control group and 137 to the intervention groups (Ex = 80; Ex + CST = 57). Full data for analysis was available for 190 participants at 3 months (112 control, 37 Ex and 41 Ex + CST), 140 at 6 months (95 control, 26 Ex and 19 Ex + CST) and 173 at 12 months (122 control, 26 Ex and 25 Ex + CST) (Figure 1 ). The intervention study was conducted during the peak of COVID-19 pandemic with multiple lockdowns resulting in significant numbers withdrawing consent after enrolment or lost to follow-up. Some participants missed 3- and 6-month assessments due to COVID-19 measures. The median adherence was 75% for Ex+CST and 67% for Ex group. There was no significant difference between the participants who dropped out before the 3 months evaluation and those who continued except for falls risk which was adjusted for in the final analysis (supplementary Table 1). There were significant differences",,,
PMC10273765,37328797.0,10.1186/s12877-023-04080-0,Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial.,2023.0,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/37328797/,original_high_confidence,unclear,Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial,include_secondary_disease_specific,Frailty RCT but disease-specific population,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,frailty;gait_speed;grip_strength;falls;quality_of_life;adherence,-04080-0 4080 1 Research Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial Liu Justina Y. W. justina.liu@polyu.edu.hk 1 2 Yin Yue-Heng 1 Kor Patrick P. K. 1 Kwan Rick Y. C. 1 Lee Paul H. 3 Chien Wai Tong 4 Siu Parco M. 5 Hill Keith D. 6,tr BMC Geriatr 33 bmcgeri BMC Geriatrics 1471-2318 BMC PMC10273765 PMC10273765.1 10273765 10273765 37328797 10.1186/s12877-023-04080-0 4080 1 Research Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial Liu Justina Y. W. justina.liu@poly,"to either: the COMB group ( n = 64), receiving 16 weeks of exercise training plus the BCE programme; the EXER group ( n = 65), receiving exercise training and health talks; or the control group ( n = 55), receiving only health talks. Fatigue was assessed using the Multi-dimensional Fatigue Inventory (range: 20 to 100, with higher scores indicating higher fatigue levels)","Results The GEE analyses showed significant interaction (time x group) between the COMB and control groups immediately ( p < 0.001), 6 months ( p < 0.001), and 12 months ( p < 0.001) post-intervention. Comparing the COMB and EXER groups, there was a significant interaction immediately ( p = 0.013) and at 12 months post-intervention ( p = 0.007). However, no significant difference was seen between the EXER group and control group at any time point.
Results Characteristics of the participants The recruitment period started during the period of social unrest that began in June 2019. The turmoil continued with the outbreak of the COVID-19 pandemic in the beginning of 2020. The resulting social distancing/ quarantine policy and lockdowns acted as a severe drag on the project, and individuals expressed concerns about participating in the study. A total of 184 participants from 21 community centres were recruited between January 2018 and April 2020 and allocated into either the COMB, EXER, or control groups (COMB: n = 64, EXER: n = 65, control: n = 55) based on cluster randomisation at a ratio of 1:1:1. Both situations had made recruitment and retention of participants far more difficult than would otherwise have been the case. Therefore, the sample size was only about 64.6% of the sample size calculated in the proposal. The attrition rates were 14.1%, 18.5%, and 14.5% at T1 (immediately post-intervention), increasing to 28.1%, 32.3%, and 41.8% at T3 (at the 12-month follow-up) in the COMB, EXER, and control groups (see Fig. 2 ). The attrition rates of the participants at T3 were higher than the estimated attrition rate of 20% in the calculation of sample size. Fig. 2 CONSORT flow diagram of the subject recruitment and study procedure The demographic and clinical characteristi",,,
PMC10376679,37508325.0,10.3390/biology12070892,A Narrative Review of Non-Pharmacological Strategies for Managing Sarcopenia in Older Adults with Cardiovascular and Metabolic Diseases.,2023.0,,https://europepmc.org/article/MED/37508325,expanded_accessible_search,exercise_plus_nutrition,A Narrative Review of Non-Pharmacological Strategies for Managing Sarcopenia in Older Adults with Cardiovascular and Metabolic Diseases,secondary_sarcopenia_verify,Sarcopenia/vulnerability RCT; frailty-primary status requires verification,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,frailty;gait_speed;grip_strength;falls;quality_of_life;adherence;adverse_events,"hat integrate behavioural science are explored to enhance the uptake and sustainability of behaviour-based sarcopenia interventions. Future research should prioritise high-quality randomized controlled trials to refine exercise and nutritional interventions and investigate the incorporation of behavioural science into routine practices. Ultimately, a comprehensive and","by/4.0/ ). Simple Summary This article explores the relationship between sarcopenia, cardiovascular disease and metabolic diseases. The authors suggest non-drug treatments such as exercise, dietary modifications and behavioural interventions as potential strategies to help older adults manage these conditions. This review highlights the importance of combining stren","oves lower and upper extremity muscle strength, peak oxygen uptake and 6-min walking distance, without any detrimental effects on the left ventricular parameters, when compared to usual care or an AT intervention [ 152 ]. Hence, RT may serve as a feasible strategy for improving physical function and quality of life in CHF patients who might not have the ability or wil",,,,
PMC10432158,37593214.0,10.7762/cnr.2023.12.3.184,Muscle Mass Changes After Daily Consumption of Protein Mix Supplemented With Vitamin D in Adults Over 50 Years of Age: Subgroup Analysis According to the Serum 25(OH)D Levels of a Randomized Controlled Trial.,2023.0,,https://europepmc.org/article/MED/37593214,expanded_accessible_search,nutrition_only,Muscle Mass Changes After Daily Consumption of Protein Mix Supplemented With Vitamin D in Adults Over 50 Years of Age: Subgroup Analysis According to the Serum 25(OH)D Levels of a Randomized Controlled Trial,secondary_sarcopenia_verify,Sarcopenia/vulnerability RCT; frailty-primary status requires verification,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,frailty;gait_speed;sppb;grip_strength;falls;quality_of_life;adherence,Muscle Mass Changes After Daily Consumption of Protein Mix Supplemented With Vitamin D in Adults Over 50 Years of Age: Subgroup Analysis According to the Serum 25(OH)D Levels of a Randomized Controlled Trial https://orcid.org/0000-0002-5835-9169 Kang Yeji 1 https://orcid.org/0000-0003-1478-4363 Kim Namhee 1 https://orcid.org/0000-0001-8484-4750 Lee Yunhwan 2 https://o,pmc Clin Nutr Res Clin Nutr Res 2007 cnr CNR Clinical Nutrition Research 2287-3732 2287-3740 Korean Society of Clinical Nutrition PMC10432158 PMC10432158.1 10432158 10432158 37593214 10.7762/cnr.2023.12.3.184 1 Original Article Muscle Mass Cha,"nefitted the most in terms of improvement in muscle health. A 12-week randomized clinical trial of 120 healthy adults (aged 50 to 80) assigned to an intervention group (n = 60) or control group (n = 60) were analyzed. Subjects in the intervention group received, twice per day, a protein supplement containing (per serving) 800 IU of vitamin D, 20 g of protein (3 g of tota","RESULTS Baseline characteristics of participants There was no significant difference (p = 0.53 and p = 0.62, respectively) in the proportions of males and females in the intervention and control in the insufficient and sufficient groups. Data for body composition, muscle function, and complete blood count ( Table 1 ) did not significantly differ between the intervention and control in the insufficient and sufficient groups. However, the age of the participants was significantly different between groups in the sufficient group (62.4 ± 7 years for the intervention group and 58.5 ± 6 years for the control group, p = 0.02). The eGFR data are not presented because all participants had levels greater than 60 mL/min/1.73 m 2 both before and after the study. Table 1 Baseline characteristics of subjects Characteristics Insufficient group (n = 46) Sufficient group (n = 65) Control (n = 23) Intervention (n = 23) p value Control (n = 34) Intervention (n = 31) p value Age 59.5 ± 5 59 ± 6 0.86 58.5 ± 6 62.4 ± 7 0.02 * Sex 0.53 0.62 Men (%) 6 (26.1) 8 (34.8) 8 (23.5) 9 (29.0) Women (%) 17 (73.9) 15 (65.2) 26 (76.5) 22 (71.0) Weight (kg) 62 ± 7 63 ± 8 0.54 60 ± 6 60.7 ± 8.5 0.81 Height (cm) 160 ± 6 161 ± 8 0.75 161 ± 6 159 ± 7 0.42 BMI (kg/m 2 ) 23.9 ± 1.6 24 ± 1.8 0.50 23 ± 1.9 23.7 ± 2 0.34 DXA Muscle mass ASM (kg) 16.7 ± 3 17 ± 3.8 0.68 16.8 ± 3 17 ± 4 0.79 ASM/wt (kg/kg, %) 27 ± 3 27 ± 3 0.99 27.8 ± 3 27.8 ± 3 0.96 ASMI (kg/m 2 ) 6 ± 0.8 6 ± 0.8 0.79 6 ± 0.8 6 ± 1 0.44 ASM/BMI (kg/[kg/m 2 ]) 0.7 ± 0.1 0.7 ± 0.1 0.79 0.7 ± 0.1 0.7 ± 0.1 0.76 Visceral adipose tissue VAT volume (cm 3 ) 860 ± 350 1,005 ± 575 0.30 809 ± 436 831.7 ± 416 0.83 VAT mass (g) 812 ± 331 980.9 ± 510 0.19 763 ± 411.7 784 ± 392 0.83 BIA SMM (kg) 23 ± 3.7 23.7 ± 5 0.73 23 ± 4 23.8 ± 4 0.85 SMM/Wt (kg/kg, %) 37.7 ±",,,
PMC10513027,37743924.0,10.3389/fnut.2023.1176523,"""We want more"": perspectives of sarcopenic older women on the feasibility of high-intensity progressive resistance exercises and a whey-protein nutrition intervention.",2023.0,,https://europepmc.org/article/MED/37743924,expanded_accessible_search,exercise_plus_nutrition,“We want more”: perspectives of sarcopenic older women on the feasibility of high-intensity progressive resistance exercises and a whey-protein nutrition intervention,defer_second_reviewer,Comparator not clearly confirmed from mined fields,yes,no,yes,yes,yes,no,yes,no,no,no,yes,frailty;sppb;grip_strength;falls;quality_of_life;adherence;adverse_events,"with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms. This qualitative study is nested within a 12-week pilot randomized-controlled, two-arm trial involving high-intensity progressive resistance training (PRT) or PRT with a multi-nutrient, whey-protein supplementation (PRT+WP) in sarcopenic older ad",pmc Front Nutr Front Nutr 2731 fnut Front. Nutr. Frontiers in Nutrition 2296-861X Frontiers Media SA PMC10513027 PMC10513027.1 10513027 10513027 37743924 10.3389/fnut.2023.1176523 1 Nutrition Clinical Trial “We want more”: perspectives of sarcopenic o,,"3. Results 3.1. Study participants, attrition, and adherence A total of 320 older adults were screened for this study, of whom 18 were identified as having possible sarcopenia (one man). Two participants (husband and wife) withdrew from the PRT group after citing personal concerns about attending measures and exercise intervention sessions. Notably, 16 women were randomly allocated to the PRT+WP ( n = 8) or PRT ( n = 8) groups. The recruitment and randomization process is displayed in Figure 1 based on the CONSORT extension to randomized pilot study guidelines ( 28 ). Figure 1 Flow diagram of participants through the study. Participants were community-dwelling, Malay women, aged (mean ± SD) 66.0 ± 3.1 years (range 61–72). Characteristics of the participants by PRT+WP and PRT group are displayed in Table 1 . There were no significant differences between groups at baseline for all the measures, indicating randomization was achieved. Table 1 Baseline characteristics (mean ± SD) in the progressive resistance training (PRT) plus whey protein supplementation (PRT+WP) and PRT only groups. Variables PRT+WP PRT n 8 8 Age (years) 66.6 ± 4.0 65.5 ± 1.9 Height (cm) 154.8 ± 5.8 151.6 ± 6.2 Weight (kg) 62.4 ± 10.0 55.9 ± 8.5 Body mass index (kg/m 2 ) 26.4 ± 4.6 24.5 ± 4.3 Systolic blood pressure (mmHg) 126.0 ± 18.3 134.3 ± 17.8 Diastolic blood pressure (mmHg) 73.5 ± 11.5 71.9 ± 6.7 Resting heart rate (bpm) 78.6 ± 7.4 71.1 ± 11.1 Overall, 16 (100%) participants completed the intervention and the post-intervention measurements. We recorded that the participants had 90% adherence to the prescribed exercises and supplement intake throughout the intervention period. There were no reported adverse events from either the exercise or nutrition supplement. 3.2. Prevalence of sarcopenia At bas",,,
PMC10560881,37818088.0,10.3389/fendo.2023.1189192,High blood galectin-3 level associated with risk of frailty in aging.,2023.0,,https://europepmc.org/article/MED/37818088,expanded_accessible_search,nutrition_only,High blood galectin-3 level associated with risk of frailty in aging,exclude,Protocol/review signal in full-text-mined fields,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,frailty;gait_speed;grip_strength;falls;adverse_events,,"rail participants, and 26.00 ± 5.87 ng/mL in non-frail individuals ( p < 0.001). Significant positive correlations between serum Gal-3 level and FP score, SARC-F score, C-reactive protein (CRP), interleukin-6, etc., were observed. In addition, the KEGG pathway and GO enrichment analyses showed that 265 DEGs in PBMCs of frail participants were mainly related to infl","36 ). Recently, a meta-analysis including 53 cross-sectional studies represented that there were higher CRP, IL-6, and TNF-α levels in older adults with frailty compared with the control group, consistent with our results ( 51 ). From this perspective, the elevated serum levels of inflammatory factors CRP, IL-6, IL-1, IL-17, TNF-α, and IFN-γ may reflect an endophenotypi","Results Participants’ mean age was 72.04 ± 7.05 years. In total, 21.48% were frail and 36.91% were pre-frail. The mean serum Gal-3 concentration was 46.34 ± 17.99 ng/mL in frail participants, 32.30 ± 8.14 ng/mL in pre-frail participants, and 26.00 ± 5.87 ng/mL in non-frail individuals ( p < 0.001). Significant positive correlations between serum Gal-3 level and FP score, SARC-F score, C-reactive protein (CRP), interleukin-6, etc., were observed. In addition, the KEGG pathway and GO enrichment analyses showed that 265 DEGs in PBMCs of frail participants were mainly related to inflammatory response, translation, RNA binding, protein binding, ribosome, and primary immunodeficiency. LGALS3 was identified as the overlapping gene between frailty-related DEGs and aging-related DEGs. The elevated serum Gal-3 concentration in the in vivo model of frailty was consistent with the results in participants.
3 Results 3.1 Characteristics of patients A total of 149 patients (68 men and 81 women) were included according to the inclusion and exclusion criteria. The average age of all patients was 72.04 ± 7.05 years, and the average Fried phenotype score was 1.0. Among the patients, 21.48% were frail, 36.91% were pre-frail, and 41.61% were non-frail. The baseline characteristics of participants among the three groups are shown in Table 1 . The results showed that there were significant differences in BMI ( p = 0.023), grip strength ( p < 0.001), walking speed ( p < 0.001), CCI ( p = 0.043), SARC-F score ( p < 0.001), MNA score ( p = 0.008), and Barthel index ( p < 0.001) among the groups. According to the post-hoc test, the grip strength ( p = 0.013), MNA score ( p = 0.022), and Barthel index ( p < 0.001) in the frail group exhibited a statistical decrease compared to those in the pre-fra",,,
