pmid,doi,title,year,journal,url,priority_reason
41677077,10.1111/acel.70376,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,2026,Aging cell,https://pubmed.ncbi.nlm.nih.gov/41677077/,Community/primary-care frailty RCT candidate
41757200,10.64898/2026.02.12.26346203,A multi-layered approach to elucidate mechanisms of physical function in response to rehabilitation in heart failure with preserved ejection fraction.,2026,medRxiv : the preprint server for health sciences,https://pubmed.ncbi.nlm.nih.gov/41757200/,Implementation-relevant frailty RCT candidate
41696082,10.1177/20552076261425399,A structured hybrid exercise programme for pre-frail older adults in primary care: A feasibility and pilot study.,2026,Digital health,https://pubmed.ncbi.nlm.nih.gov/41696082/,Community/primary-care frailty RCT candidate
41691463,10.1093/gerona/glag034,Benefits of oral nitrite supplementation on mitochondrial respiration and physical function in older adults.,2026,"The journals of gerontology. Series A, Biological sciences and medical sciences",https://pubmed.ncbi.nlm.nih.gov/41691463/,Community/primary-care frailty RCT candidate
41748043,10.1016/j.exger.2026.113079,Effect of bedrest on the human gut and oral microbiome: implications for frailty.,2026,Experimental gerontology,https://pubmed.ncbi.nlm.nih.gov/41748043/,Community/primary-care frailty RCT candidate
42010888,10.1113/EP093501,"Effect of repeated hot water immersion on muscle strength, power, function and physical activity in healthy older adults: A randomised crossover trial.",2026,Experimental physiology,https://pubmed.ncbi.nlm.nih.gov/42010888/,Community/primary-care frailty RCT candidate
41513837,10.1038/s43856-025-01361-0,Effects of an oral exercise intervention on pre-frailty or frailty in older people: a randomized clinical trial.,2026,Communications medicine,https://pubmed.ncbi.nlm.nih.gov/41513837/,Community/primary-care frailty RCT candidate
41786620,10.1093/ptj/pzag020,Effects of home-based cardiac rehabilitation integrated in the cardiac care bridge transitional care program on the physical functioning of older patients who are frail: secondary analysis of a randomized trial.,2026,Physical therapy,https://pubmed.ncbi.nlm.nih.gov/41786620/,Implementation-relevant frailty RCT candidate
42004413,10.1016/j.jarlif.2026.100069,Effects of multicomponent exercise on frailty in older adults with type 2 diabetes: Differential responses by metabolic frailty phenotype.,2026,JAR life,https://pubmed.ncbi.nlm.nih.gov/42004413/,Community/primary-care frailty RCT candidate
42066553,10.1016/j.ijnurstu.2026.105549,"Effects of pickleball on pre-frailty, physical fitness, 24-hour movement behaviors, and quality of life in older adults: A randomized controlled trial.",2026,International journal of nursing studies,https://pubmed.ncbi.nlm.nih.gov/42066553/,Community/primary-care frailty RCT candidate
41456342,10.1111/jgs.70266,Efficacy of a Multicomponent Intervention for Frailty or Physical Function in Prefrail or Frail Older Adults: FRAILMERIT Multicenter Clinical Trial.,2026,Journal of the American Geriatrics Society,https://pubmed.ncbi.nlm.nih.gov/41456342/,Community/primary-care frailty RCT candidate
41658611,10.3389/fmed.2026.1755508,"Feasibility and acceptability of a remotely delivered, home-based ""exercise snacking"" to improve physical function in community-dwelling older adults: a 28-day pilot study.",2026,Frontiers in medicine,https://pubmed.ncbi.nlm.nih.gov/41658611/,Community/primary-care frailty RCT candidate
41805014,10.1177/1096620X261430172,Fermented Whey Protein Supplement Slows the Progression of Frailty and Sarcopenia Among Older Korean Adults: A Randomized Blinded Trial.,2026,Journal of medicinal food,https://pubmed.ncbi.nlm.nih.gov/41805014/,Community/primary-care frailty RCT candidate
42131895,10.1002/jcsm.70306,Home-Based Intervention to Prevent Functional Decline in (Pre)frail Older Adults: The PromeTheus Randomized Controlled Trial.,2026,"Journal of cachexia, sarcopenia and muscle",https://pubmed.ncbi.nlm.nih.gov/42131895/,Community/primary-care frailty RCT candidate
41335421,10.1001/jamasurg.2025.5288,Home-Based Prehabilitation for Older Surgical Patients With Frailty: A Randomized Clinical Trial.,2026,JAMA surgery,https://pubmed.ncbi.nlm.nih.gov/41335421/,Implementation-relevant frailty RCT candidate
41548385,10.1016/j.maturitas.2026.108832,Home-based exercise reduces fall risk in older adults with mild cognitive impairment who have sustained a hip fracture: A 6-month randomized controlled trial.,2026,Maturitas,https://pubmed.ncbi.nlm.nih.gov/41548385/,Community/primary-care frailty RCT candidate
41190491,10.1177/01939459251384714,Impacts of (Pre-)Social Frailty on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre-)Physically Frail Older Adults.,2026,Western journal of nursing research,https://pubmed.ncbi.nlm.nih.gov/41190491/,Community/primary-care frailty RCT candidate
39731555,10.1080/07317115.2024.2447829,Impacts of Depressive Symptoms on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre)frail Older Adults.,2026,Clinical gerontologist,https://pubmed.ncbi.nlm.nih.gov/39731555/,Community/primary-care frailty RCT candidate
41860332,10.2196/77816,Leveraging Digital Health Technologies to Assess Older Adults' Frailty and Nutritional Status: Two Cross-Sectional Studies.,2026,JMIR aging,https://pubmed.ncbi.nlm.nih.gov/41860332/,Community/primary-care frailty RCT candidate
41812966,10.1016/j.ahj.2026.107420,Physical rehabilitation for older patients with acute HFpEF (REHAB-HFpEF) trial: Design and rationale.,2026,American heart journal,https://pubmed.ncbi.nlm.nih.gov/41812966/,Implementation-relevant frailty RCT candidate
41509872,10.1177/20552076251410995,South Korean study to prevent the progression of frailty and aging-related diseases using a digital multidomain intervention (SUPERAGING): Protocol of a feasibility pilot study.,2026,Digital health,https://pubmed.ncbi.nlm.nih.gov/41509872/,Community/primary-care frailty RCT candidate
41397660,10.1016/j.exger.2025.113002,Strength but not power training increases soluble alpha klotho levels in pre-frail older adults.,2026,Experimental gerontology,https://pubmed.ncbi.nlm.nih.gov/41397660/,Community/primary-care frailty RCT candidate
41485179,10.1007/s40520-025-03313-z,Swedish massage versus hip strengthening exercises for pain and function in older adults with knee osteoarthritis: a randomized controlled trial.,2026,Aging clinical and experimental research,https://pubmed.ncbi.nlm.nih.gov/41485179/,Community/primary-care frailty RCT candidate
41796126,10.1038/s41598-026-38989-4,The ActivLife exergame rehabilitation program improves functional abilities in pre-frail and frail older adults: a clinical trial.,2026,Scientific reports,https://pubmed.ncbi.nlm.nih.gov/41796126/,Community/primary-care frailty RCT candidate
41386386,10.1016/j.exger.2025.112995,The effect of exercise and soy protein intake on physical frailty score improvement in community-dwelling elderly: a randomized controlled trial.,2026,Experimental gerontology,https://pubmed.ncbi.nlm.nih.gov/41386386/,Community/primary-care frailty RCT candidate
41580594,10.1186/s12877-025-06967-6,The effectiveness of a nation-wide implemented fall prevention intervention in the Netherlands in reducing falls and fall-related injuries among community-dwelling older adults with an increased risk of falls: a randomized controlled trial.,2026,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/41580594/,Community/primary-care frailty RCT candidate
41851641,10.1186/s12877-026-07275-3,"The role of sleep disorders in the motoric and cognitive trajectories of older physically frail sarcopenic and healthy active subjects: SOMNUS-DARE, a prospective cohort study.",2026,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/41851641/,Community/primary-care frailty RCT candidate
39652737,10.1519/JSC.0000000000004941,A 24-Week Combined Resistance and Balance Training Program Improves Physical Function in Older Adults: A Randomized Controlled Trial.,2025,Journal of strength and conditioning research,https://pubmed.ncbi.nlm.nih.gov/39652737/,Community/primary-care frailty RCT candidate
40695991,10.1038/s41746-025-01873-y,A randomized controlled trial of mobile intervention using health support bubbles to prevent social frailty.,2025,NPJ digital medicine,https://pubmed.ncbi.nlm.nih.gov/40695991/,Implementation-relevant frailty RCT candidate
