study_id,pmid,title,intervention_node_prelim,delivery_setting_score_0_2,workforce_fit_score_0_2,equipment_burden_score_0_2,dose_clarity_score_0_2,safety_monitoring_score_0_2,adherence_feasibility_score_0_2,procurement_burden_score_0_2,india_primary_care_readiness_total_0_14,implementation_readiness_category,readiness_notes
FRAIL-001,42131895,Home-Based Intervention to Prevent Functional Decline in (Pre)frail Older Adults: The PromeTheus Randomized Controlled Trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-002,42004413,Effects of multicomponent exercise on frailty in older adults with type 2 diabetes: Differential responses by metabolic frailty phenotype.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-003,41796126,The ActivLife exergame rehabilitation program improves functional abilities in pre-frail and frail older adults: a clinical trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-004,41677077,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-005,41658611,"Feasibility and acceptability of a remotely delivered, home-based ""exercise snacking"" to improve physical function in community-dwelling older adults: a 28-day pilot study.",exercise_only,,,,,,,,,,
FRAIL-006,41354090,Why didn't the senior citizen cross the road? Gait speed in community-dwelling older adults with mobility limitations relative to pedestrian crossing times.,exercise_only,,,,,,,,,,
FRAIL-007,41120990,Impact of a functional gait training program as a complementary strategy to improve physical function in older adults: a randomized clinical trial.,exercise_only,,,,,,,,,,
FRAIL-008,41095572,Targeted Physical Function Exercises for Frailty and Falls Management in Pre-Frail Community-Dwelling Older Adults: A Randomized Controlled Trial.,exercise_only,,,,,,,,,,
FRAIL-009,41035820,Effects of exercise-cognitive dual-task training on cognitive frailty in older adults: a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-010,40969786,Effect of a multicomponent intervention on institutionalization-free survival in older adults with sarcopenia: a,exercise_plus_nutrition,,,,,,,,,,
FRAIL-011,40938877,The impact of outdoor walking interventions on frailty among older adults with mobility limitations: Findings from the Getting Older Adults Outdoors (GO-OUT) study.,exercise_only,,,,,,,,,,
FRAIL-012,40749218,Mixed Reality-Based Physical Therapy in Older Adults With Sarcopenia: Preliminary Randomized Controlled Trial.,exercise_only,,,,,,,,,,
