bm,q,k,s,r,r1,r2,n2,sex,s_r,s_ba2
logcrp,-1.417445296636876,0.009948226140237543,1.4871118208215106,0.0050200276187643,0.0004739746084233955,0.006689628850332144,4.475113415519616e-05,male,421.40660341116325,-121.94229489280724
hba1c_v,5.655337743347265,0.005008679226619376,1.1030443393707392,0.002319180418785094,0.0002186741848916792,0.0045407777800452786,2.0618662847752928e-05,male,421.40660341116325,-121.94229489280724
hb_v,16.84951555112988,-0.04580837241980721,2.4160166504042593,0.03895134607807449,0.0037420205984508422,0.018960288378866236,0.00035949253540977,male,421.40660341116325,-121.94229489280724
sbp,111.27231477578886,0.27030372272268177,18.533513384210337,0.023424034615478484,0.0022321589731602153,0.01458459155148465,0.00021271031072363745,male,421.40660341116325,-121.94229489280724
pulse,85.90882601940693,-0.11522832449572978,11.71276313747895,0.010795751340901272,0.0010221775129186147,0.009837842970376286,9.67831543097821e-05,male,421.40660341116325,-121.94229489280724
fev1_raw,3.4545262304966693,-0.023531437305056985,0.5383517208233491,0.16666191092860572,0.017844341568876692,0.04371015526627883,0.0019105776734022032,male,421.40660341116325,-121.94229489280724
grip,50.64619446135289,-0.3754556643741065,6.874685900896295,0.2505317242450177,0.027336138368464893,0.054614228167887066,0.002982713918374029,male,421.40660341116325,-121.94229489280724
waist,91.11745090511948,-0.0947079246317941,12.078961968099149,0.006838474188182286,0.0006483900057409462,0.007840733738703722,6.147710556124684e-05,male,421.40660341116325,-121.94229489280724
logcrp,-0.7399993232863649,0.0014744892627500067,1.4490480391013758,0.00011377483749941408,1.0853803201364425e-05,0.0010175571982171192,1.0354226516434737e-06,female,419.564724746511,-24.994682195161317
hba1c_v,5.96925143566301,0.000770367302610724,1.0763457133818786,5.629472054502482e-05,5.3700692919684925e-06,0.0007157247834343388,5.122619656221312e-07,female,419.564724746511,-24.994682195161317
hb_v,13.713822904564921,-0.018647951393570936,2.160082821767189,0.008124030246892455,0.0007781198442432493,0.008632979812466093,7.45283404424471e-05,female,419.564724746511,-24.994682195161317
sbp,99.94642022780006,0.47601210615462447,18.416799196587373,0.06838230865113415,0.0067588953874367155,0.025846625196566695,0.0006680480340517963,female,419.564724746511,-24.994682195161317
pulse,83.92747340298496,-0.024854189116294882,11.415869442520144,0.0005205391826230699,4.9672648653483426e-05,0.002177161296512526,4.740031311032103e-06,female,419.564724746511,-24.994682195161317
fev1_raw,2.4126575466150695,-0.01463430654883727,0.4840449730784597,0.08134867689670733,0.00862306541513934,0.030233361284107727,0.000914056134535384,female,419.564724746511,-24.994682195161317
grip,32.25577053695468,-0.23179269337500558,4.85376289278615,0.19953126683583622,0.021331758814129815,0.04775525679664016,0.002280564551713046,female,419.564724746511,-24.994682195161317
waist,90.55347533938554,-0.09937034851710534,13.561213393257397,0.005807839731524322,0.0005584259282938779,0.007327541100895296,5.369285858530985e-05,female,419.564724746511,-24.994682195161317
