state,n,mean_burden,undx_diabetes_pct,high_burden_pct
Andhra Pradesh,2001,2.379,48.2,45.7
Chandigarh,788,2.203,47.2,39.7
Punjab,1831,2.136,44.3,35.3
Telangana,1940,2.105,57.6,34.3
Maharashtra,3050,2.03,48.8,33.8
Delhi,1141,2.039,52.6,32.4
Sikkim,879,2.059,64.1,32.3
Lakshadweep,1014,2.038,40.8,30.8
Kerala,2119,1.985,38.0,30.1
Daman and Diu,849,1.868,42.6,28.8
Puducherry,1165,1.92,38.2,28.4
Andaman and Nicobar,1020,1.849,45.2,27.9
Jammu and Kashmir,1288,1.845,62.3,26.4
Tamil Nadu,2990,1.813,45.9,26.3
Goa,1119,1.84,31.4,25.7
Gujarat,1919,1.736,48.2,24.0
Odisha,2385,1.68,59.3,23.4
West Bengal,3069,1.662,46.5,23.4
Dadra and Nagar Haveli,909,1.591,55.7,22.8
Meghalaya,876,1.728,58.8,22.2
Jharkhand,2082,1.696,53.6,22.2
Himachal Pradesh,1184,1.658,34.9,20.9
Uttarakhand,1183,1.604,50.1,20.1
Karnataka,1913,1.598,42.6,19.7
Haryana,1582,1.621,60.7,18.7
Chhatisgarh,1803,1.586,65.4,18.4
Manipur,1089,1.59,55.8,18.4
Uttar Pradesh,3917,1.425,59.9,15.9
Tripura,951,1.429,55.5,15.5
Rajasthan,1975,1.459,59.8,15.0
Assam,1805,1.492,57.3,14.9
Mizoram,1018,1.39,49.2,14.8
Bihar,3187,1.409,64.1,14.8
Arunachal Pradesh,926,1.374,82.3,14.1
Madhya Pradesh,2446,1.308,69.2,13.3
Nagaland,1117,1.297,71.8,11.5
